Function,Times,combination579,combination588
F1,Times1,0.001761568133971692,4.889727012798673e-05
F1,Times2,0.0008671608390625194,4.959931095440128e-05
F1,Times3,0.001933214767501517,4.638408092049006e-05
F1,Times4,0.001476035602119173,4.690854591839606e-05
F1,Times5,0.001430405865027425,4.85385580505672e-05
F1,Times6,0.001890426482816225,5.697489081528228e-05
F1,Times7,0.001558773119053648,4.968429579647167e-05
F1,Times8,0.001511421807127699,4.836031900083759e-05
F1,Times9,0.001281601317834155,4.92551605641829e-05
F1,Times10,0.001847961838565804,4.82988385983025e-05
F2,Times1,0.1656068628364133,0.0292837177101779
F2,Times2,0.1439751527425015,0.02552223049639302
F2,Times3,0.1295396584353856,0.02183686925312861
F2,Times4,0.1507230871339869,0.03130946818998626
F2,Times5,0.1981898379669071,0.02532205700824824
F2,Times6,0.1352051654262714,0.02182093881336616
F2,Times7,0.1716259188691498,0.03352771014160311
F2,Times8,0.222446085512062,0.0224231230041621
F2,Times9,0.1662465488429068,0.03126013881415018
F2,Times10,0.19951543218344,0.01942090067278557
F3,Times1,0.06044820276758872,0.001391915034638032
F3,Times2,0.0780329192502282,0.00204731500341353
F3,Times3,0.1000509520489642,0.0006804923828649742
F3,Times4,0.07072221550972298,0.001560104290786387
F3,Times5,0.09634408498509127,0.0006048800837166939
F3,Times6,0.09575330689166206,0.001625251235190107
F3,Times7,0.03920116767903194,0.001832701808548541
F3,Times8,0.07914557035952707,0.002540006350123294
F3,Times9,0.04671616180288969,0.0009867343284419212
F3,Times10,0.05866232300113609,0.0008950468573419426
F4,Times1,0.3650046960677091,0.3088449956395931
F4,Times2,0.3716005964207834,2.823471160934421
F4,Times3,0.2935786920570744,0.096644407203125
F4,Times4,0.4021449367770433,0.2761701118456453
F4,Times5,0.2539635648943648,3.555646718859724
F4,Times6,0.2764580858307109,1.345194683405043
F4,Times7,0.3275670636335599,0.5661807384450096
F4,Times8,0.2964793768947196,1.430520065700446
F4,Times9,0.3221756785049736,0.1355284829869468
F4,Times10,0.4455504737716165,7.728629150135742
F5,Times1,88.0160641151837,46.63897827817921
F5,Times2,94.74828240769558,46.82896745512927
F5,Times3,147.097168334687,46.71424852033898
F5,Times4,108.7119851563979,44.16348520230181
F5,Times5,120.6845437538711,46.35517071382739
F5,Times6,170.5849889041454,46.48913497230023
F5,Times7,9.214945128166582,46.7971041774677
F5,Times8,152.5061816030034,41.46610278406266
F5,Times9,40.89997175836204,47.00605819129991
F5,Times10,147.0445906826582,46.51614026431002
F6,Times1,0.001591678514486317,4.936924308058044e-05
F6,Times2,0.001238949378068725,4.604642847493851e-05
F6,Times3,0.00143796162006861,4.883988010883342e-05
F6,Times4,0.001204109082691104,4.939165462141402e-05
F6,Times5,0.001342987822555435,4.930175187185253e-05
F6,Times6,0.001395571577570159,4.745416025877559e-05
F6,Times7,0.001948711271475609,4.866284425733186e-05
F6,Times8,0.001829476343033362,4.528225145206882e-05
F6,Times9,0.001216035822494308,4.941213888340847e-05
F6,Times10,0.0008759420597618795,4.299781341305656e-05
F7,Times1,24.92072126234347,14.33790789633617
F7,Times2,20.23137115944621,16.10021170661171
F7,Times3,20.06705859522722,16.28783719036499
F7,Times4,23.0951721278129,18.53975187284157
F7,Times5,22.80804551586819,16.28684800488447
F7,Times6,23.09416444384568,18.93701660346122
F7,Times7,27.32174172901088,13.82170651253219
F7,Times8,21.16191472120291,17.96297994632007
F7,Times9,20.83980039848635,15.18940356487377
F7,Times10,25.72973262795959,15.92893765299067
F8,Times1,-15576.71848263334,-15419.80443610849
F8,Times2,-15414.23524137796,-14072.55855829894
F8,Times3,-14098.9950670241,-11588.2377813985
F8,Times4,-15637.31068307543,-14196.8941334735
F8,Times5,-14705.12409365875,-13031.29363093131
F8,Times6,-16721.75210784411,-14650.44536064408
F8,Times7,-14472.43695861078,-13286.59411749302
F8,Times8,-15518.92803328228,-13109.93803764291
F8,Times9,-15145.28259544281,-13840.48826405091
F8,Times10,-14431.57351365656,-13267.84766489069
F9,Times1,0.1671206107434635,0.003375009057593914
F9,Times2,0.2765603945606596,0.007146228873093463
F9,Times3,0.2957705887409148,0.007146563456471355
F9,Times4,0.3538703397872052,0.01105263626950226
F9,Times5,0.3948382499752441,0.006757552037724324
F9,Times6,0.3306385012074351,0.002759136222277192
F9,Times7,0.1599102441830951,0.007603581196944376
F9,Times8,0.1633217688711852,0.005062264168776309
F9,Times9,0.3883769512560313,0.007249931128242793
F9,Times10,0.2982263058056454,0.007555481183938895
F10,Times1,0.02600064506460598,0.003021107667539269
F10,Times2,0.01955366578424034,0.003013417540426389
F10,Times3,0.02134933690833307,0.002817157767513123
F10,Times4,0.02354152428390677,0.002389445053857742
F10,Times5,0.02089734504740903,0.002837051462147855
F10,Times6,0.02120973973784146,0.004074464313184478
F10,Times7,0.02320983920083108,0.003393047849634456
F10,Times8,0.0239643315093403,0.003028200301752548
F10,Times9,0.02384602357109245,0.003124991524522613
F10,Times10,0.02509479228203304,0.00349589442843623
F11,Times1,0.0001810518145588524,0.007399634728883386
F11,Times2,4.82416628204696e-05,4.95313644646167e-05
F11,Times3,4.627436559667686e-05,4.667682800163497e-05
F11,Times4,6.46178609433612e-05,0.0172281303306383
F11,Times5,0.007444697288768731,4.891975232079737e-05
F11,Times6,7.863123128670768e-05,4.872139906986206e-05
F11,Times7,5.308635396994443e-05,0.007396904170113405
F11,Times8,0.01242768343848055,4.74079507367664e-05
F11,Times9,0.007436972292256039,4.630063259281059e-05
F11,Times10,4.842889776390802e-05,4.881466748329899e-05
F12,Times1,0.0003762544635891679,4.462289637136222e-05
F12,Times2,0.002172453367152132,4.980617827586279e-05
F12,Times3,0.0004633088857825987,4.651596339768984e-05
F12,Times4,0.0004879626507850684,4.541425659660012e-05
F12,Times5,0.0003167095035962599,4.847108134531248e-05
F12,Times6,0.0006710004685124544,4.601814056527954e-05
F12,Times7,0.0004855633687552276,4.474841813520154e-05
F12,Times8,0.0003798260393546849,4.943926850993171e-05
F12,Times9,0.000267199962826931,4.570615011361913e-05
F12,Times10,0.0006149183869269947,4.971595808075376e-05
F13,Times1,0.0001949337883020472,4.712555317661456e-05
F13,Times2,0.000768708116411742,4.95197656249773e-05
F13,Times3,0.0003115842378942749,4.921625188273328e-05
F13,Times4,0.0002137202146246035,4.958930270189143e-05
F13,Times5,0.0004072670644231505,4.770357001510103e-05
F13,Times6,0.0003991261951606231,4.848239210230503e-05
F13,Times7,0.0002738152556935076,4.905383898911992e-05
F13,Times8,0.0006572919768440748,4.964837643413176e-05
F13,Times9,0.0005496524812235085,4.660782871051344e-05
F13,Times10,0.0006504129179882497,4.965952201560793e-05
F14,Times1,0.9982446918335179,0.9993827456043345
F14,Times2,0.9980879628605156,0.9981748304270793
F14,Times3,0.9980053386721434,0.9981292907227765
F14,Times4,0.998116604494034,0.9982764713746235
F14,Times5,0.999437460831947,1.992030900221972
F14,Times6,0.9980620146709183,1.992030900223119
F14,Times7,0.9980102925912164,6.903335694222759
F14,Times8,0.9986236403130867,1.992030900221801
F14,Times9,0.9987685568490174,1.992030900222169
F14,Times10,0.9980038687465299,2.982105156816773
F15,Times1,0.0007960688335683023,0.0003236128942502927
F15,Times2,0.001223931773071312,0.000331577889764201
F15,Times3,0.00124466894720686,0.0003461577054841075
F15,Times4,0.0007846276787411011,0.0003499250555341388
F15,Times5,0.001224961629405415,0.0003576512529813821
F15,Times6,0.001224243677756757,0.0003485409838988408
F15,Times7,0.001280802605405668,0.001223183889830898
F15,Times8,0.001224706970566692,0.0003491746810435205
F15,Times9,0.001242265302893751,0.001223255178669234
F15,Times10,0.0003892914975314455,0.0003332829601297676
F16,Times1,-1.031578485536392,-1.031567751798993
F16,Times2,-1.031578256742328,-1.03160393533737
F16,Times3,-1.031619493096301,-1.031600739792067
F16,Times4,-1.031601385106238,-1.03157732183182
F16,Times5,-1.031570086137257,-1.031610413370556
F16,Times6,-1.031584927775044,-1.031605697030366
F16,Times7,-1.031572860419146,-1.031625325195248
F16,Times8,-1.031555987213756,-1.031569171604195
F16,Times9,-1.031621113150153,-1.031611537680239
F16,Times10,-1.0316129993695,-1.031617352114764
F17,Times1,0.3979300815725395,0.3980405866767587
F17,Times2,0.3978899528842899,0.3979861717000439
F17,Times3,0.3979819978145436,0.3980350929660261
F17,Times4,0.398023272005263,0.3979017835560299
F17,Times5,0.3979042383089624,0.3979846874263444
F17,Times6,0.3980250221710815,0.3979426069593188
F17,Times7,0.3979037645217911,0.3980420947058381
F17,Times8,0.3979838326532494,0.3979155769845111
F17,Times9,0.3979596886334118,0.3979557741723596
F17,Times10,0.3980225212396782,0.3979707653860896
F18,Times1,3.000043129244168,3.000264304520099
F18,Times2,3.000013357501414,3.000098637492879
F18,Times3,3.000001850464472,3.000228105778602
F18,Times4,3.000019715083165,3.000284817898789
F18,Times5,3.000047907912951,3.000059065969268
F18,Times6,3.000049034076272,3.000873913292151
F18,Times7,3.000001867862745,3.000460625635021
F18,Times8,3.000040539025886,3.000061673852922
F18,Times9,3.000047057694986,3.000253730623208
F18,Times10,3.000010935337178,3.000266035851835
F19,Times1,-0.3004789071949463,-0.3004789071949463
F19,Times2,-0.3004789071949463,-0.3004789071949463
F19,Times3,-0.3004789071949463,-0.3004789071949463
F19,Times4,-0.3004789071949463,-0.3004789071949463
F19,Times5,-0.3004789071949463,-0.3004789071949463
F19,Times6,-0.3004789071949463,-0.3004789071949463
F19,Times7,-0.3004789071949463,-0.3004789071949463
F19,Times8,-0.3004789071949463,-0.3004789071949463
F19,Times9,-0.3004789071949463,-0.3004789071949463
F19,Times10,-0.3004789071949463,-0.3004789071949463
F20,Times1,-3.203056105292416,-3.321070975357715
F20,Times2,-3.203098202420269,-3.20310190325855
F20,Times3,-3.203095133278956,-3.320372443632324
F20,Times4,-3.20310000060154,-3.203101573783899
F20,Times5,-3.2030909432713,-3.203101586508402
F20,Times6,-3.319954455645575,-3.203101991191846
F20,Times7,-3.203096183817314,-3.203102017830793
F20,Times8,-3.203095088821137,-3.203101496937707
F20,Times9,-3.203100450178066,-3.203101823564577
F20,Times10,-3.203097281841688,-3.203101722472042
F21,Times1,-5.100763624638215,-5.055197681502962
F21,Times2,-5.100767626381281,-5.055197641575203
F21,Times3,-10.15315225529544,-5.100771927825992
F21,Times4,-2.630471623629708,-5.100772045155365
F21,Times5,-10.15315147330722,-10.15315349692611
F21,Times6,-10.15316975596298,-5.100772094828192
F21,Times7,-10.15319555109857,-10.15315238289785
F21,Times8,-5.055196431787428,-10.15316452573161
F21,Times9,-2.630470756787832,-5.100771991660304
F21,Times10,-5.054913476089039,-10.15316087721822
F22,Times1,-5.128821256325831,-5.128822036357275
F22,Times2,-3.011213790216379,-10.40284526583776
F22,Times3,-10.4028365203735,-10.40281183352951
F22,Times4,-10.40278214670189,-10.40288303057471
F22,Times5,-10.4022162335548,-10.40282997980204
F22,Times6,-5.077846306057785,-10.40276947218974
F22,Times7,-3.724296633325513,-10.40276547000324
F22,Times8,-1.837592652124496,-10.40279491511897
F22,Times9,-10.40276458089575,-10.40282128054597
F22,Times10,-3.724296981836743,-10.40275497334522
F23,Times1,-3.835425407484511,-5.175646620698304
F23,Times2,-10.5363733621138,-10.536281392372
F23,Times3,-5.175646116591556,-10.5362501835984
F23,Times4,-10.53632079690538,-5.175646698976899
F23,Times5,-2.871141457472322,-5.175646719274732
F23,Times6,-5.175643648865643,-10.536308506145
F23,Times7,-5.128464010342121,-10.53628951099265
F23,Times8,-3.835426126207294,-10.53636932396128
F23,Times9,-10.53629284188221,-5.128480361412636
F23,Times10,-10.53629664294662,-10.53634892188936
