,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10
0,584.8537256567217,563.2575515615081,507.6183128452684,475.870626821782,464.2284578599564,468.7831417913508,449.94942315837415,541.102270390291,545.5342025517648,566.0253821979954
1,1390.2501919754443,1290.318059864308,1107.2195469560047,1493.6827459012125,1023.319226852651,1386.6419179392703,1195.5222866993067,1068.0181222887866,1327.3738913418467,2930.849758107994
2,1090.1968784318187,3786.9592226835457,1682.2895217979308,1495.4949326330743,1298.2374338843017,1307.602146196304,1635.0857002873702,1092.428477278855,2177.529474907809,1039.782721194504
3,-10.153199593178732,-5.055197695385118,-10.153199658264697,-2.682860384967913,-2.6304716639453742,-2.630471656344431,-10.1531995674098,-2.6828603923226853,-5.100772138858392,-5.100772076571796
4,-10.153199474497406,-5.100771891799663,-10.153199568217996,-3.13719070762214,-2.6304716316166274,-10.15319951800386,-2.6304716648777178,-10.153199133410162,-10.153199495750393,-10.153199500712413
5,-10.153198813814448,-5.10077186939132,-10.153199440439192,-5.1007720366819695,-2.630471652063214,-10.153199125700578,-2.6304713897539336,-10.153198775723682,-10.153197882903465,-5.055197699527144
6,184.973268340009,268.59773739156464,309.4199097657703,255.60906270892207,114.32019416544472,225.40382234806071,302.7541679726406,172.07965380662256,179.10375764175896,135.2014806064272
7,376.06542085975167,258.9314935482517,431.36367603048814,227.9266734676252,226.42529733353808,446.6052067192052,485.5702132060936,410.9241767804881,376.57663041335695,377.0412746191586
8,384.4555029932142,232.29534755516065,356.69053235861264,338.6576254776775,174.65967152489364,292.7576436256001,274.2728738753144,297.8781568408665,354.81515581737483,367.492648135042
9,-2.6828603758184664,-10.153199152251888,-10.153199337003224,-10.15319944016294,-10.153198969137623,-10.15319931879163,-2.6304716224614477,-10.153199471158358,-2.630471663882684,-10.153199211173462
10,-2.682860378113197,-10.153199480785688,-10.153199567728503,-10.153198911235853,-10.153199216247778,-5.055197580375418,-10.1531995482505,-2.630471634814667,-10.153199603959283,-2.6304715889644106
11,-10.153192865142668,-5.055197165235706,-10.15319819230428,-5.0551957040609885,-5.100771283795909,-2.68286028861775,-2.68286031580108,-10.153198116892517,-5.100771403226531,-2.630471658182168
12,369.5504009618002,1430.0756435031385,500.2543251766726,1659.4675769764335,520.6030762239404,379.41750610732817,495.9779483771029,420.2035399567922,430.70637869836673,2202.297266997653
13,827.1152578386176,699.4791070371157,741.9738457815555,740.9433594424755,923.4994394922476,680.7914044088709,931.7372836036652,3258.452306471744,921.2989202210453,626.3505727152794
14,924.2050839892836,947.0861906128596,771.0186423015053,2543.389673564098,1028.0970789938492,714.2712118312305,1045.7731383552955,2543.2053603773797,986.1047924223358,974.5384012228604
15,-10.153199658156211,-5.055197695898221,-2.682860369900387,-10.1531996510946,-2.682860393240798,-5.100772105102109,-2.682860390504135,-5.0551977087365625,-10.153199657986846,-5.10077213084862
16,-2.6304716355224915,-10.153199620069431,-10.153199302030018,-5.1007721062513545,-5.100771923579257,-5.055197705853552,-10.15319896886227,-10.153199304246792,-5.100772000500286,-10.15319937457535
17,-2.6828603726100178,-2.682860357651843,-10.15319918871759,-2.6828603631856978,-10.153199207940249,-10.15319912498177,-10.153198660503332,-2.630471562164629,-2.630471606051612,-10.153198872079804
18,606.4249481561731,622.4001112631931,426.1687833462751,445.0983176812753,480.0722604366184,537.4674861142755,518.3421412817723,489.81935394180033,524.118979205813,405.0231930879364
19,966.3224805949768,1294.7532471429656,1400.9467866753744,1149.6439867573652,3796.886510272622,1247.8595231276718,1087.0149669569705,1319.4526751161586,1321.142481260129,1308.268361049905
20,2707.8495850741288,1080.7273037427692,1410.0706264559908,1202.5855753743374,1088.3468686069318,1074.0355486769038,1062.8518383291878,1654.448625612137,2923.1026433969514,1003.5791875698428
21,-5.100772095546459,-2.630471660517301,-2.630471665710221,-2.630471666884328,-5.100772112020264,-10.15319964850415,-2.6828603864770564,-10.153199608275855,-10.153199616405134,-5.055197723781915
22,-5.1007721271580495,-2.6828603876104675,-10.153199365466616,-2.682860393025289,-10.153199592706027,-10.15319936647198,-10.153199559839894,-5.100771967669897,-5.100772097684585,-5.100772038208073
23,-5.1007719992974,-5.505374832568055,-5.100771968324102,-5.100771771396616,-10.15319824380225,-10.1531993306062,-2.63047164850825,-10.153197472365353,-2.682860387608727,-10.15319916388825
24,447.4542681676608,463.8128294480883,472.195503623839,509.00966020103175,377.8382692402796,2089.094380242396,310.93325053449587,463.6838233312775,1536.7486565721492,409.3866498299057
25,2042.7279949779208,772.5442246401177,927.590471812342,806.3554512258212,795.4816945215451,983.3677234181848,751.1098561383333,681.9621469402008,801.7546031314762,905.3834887020104
26,825.7698457370908,905.9097656192572,1050.704381156787,858.2397466951656,821.1651531742981,858.4831193947409,734.2026588048799,755.2010296765609,780.4412497742719,992.9882530357548
27,-5.100772051851676,-10.1531996495545,-5.0551977142418965,-5.1007720457396015,-10.153199541353946,-5.100772137147621,-2.630471660574317,-2.6304716666288708,-2.6828603900711707,-2.6828603948851426
28,-2.630471622410472,-10.153199420006471,-10.153199643479306,-2.6828603911897204,-2.6304716437100417,-2.6304716032008835,-10.153199449953004,-3.209215448894358,-5.100772083148135,-5.100772023130832
29,-5.100772105043208,-10.153194617676334,-5.100772084511942,-10.153198943423195,-5.100772096002459,-2.63047156397042,-5.81457900094616,-5.1007718701020295,-2.6828602741108543,-2.6828602705301585
