,,590,579,588,589
F7,Times5,0.004050064199697,0.0004923553370568,0.003203487769213,0.003766486142855
F7,Times6,0.0042244648304447,0.0005883862028228,0.0038384264728661,0.0044884645561261
F7,Times7,0.0046806646911014,0.0005109013274106,0.0041495213577054,0.0041569857736099
F7,Times8,0.004288683180955,0.0006259923866711,0.0040150376260214,0.0041733038111071
F7,Times9,0.0041554443905119,0.000485609316904,0.003984808851637,0.0041526076679407
F7,Times10,0.0044228579225443,0.0004558985187118,0.0037208493502913,0.004721119462503
F8,Times1,-98350.8263841302,-95082.25745819604,-95769.39337377924,-96409.25960887896
F8,Times2,-96873.66338264638,-96941.59279762972,-92534.31650795508,-95560.44916885695
F8,Times3,-96710.91227281284,-96352.39560654464,-100319.60767078788,-96197.46269390566
F8,Times4,-94086.66711027006,-97216.87997310975,-98038.25358231398,-92558.24887565651
F8,Times5,-99253.88364407828,-96341.5175527344,-94239.08988475255,-90902.25173966972
F8,Times6,-98237.89759542998,-103478.28725337976,-94361.94526700744,-95889.2302161854
F8,Times7,-93353.36781643888,-97787.67600245855,-93153.6976448264,-93696.68474934027
F8,Times8,-92814.11477796042,-93417.06943537843,-93899.2800811855,-98154.58044043466
F8,Times9,-95909.83413263128,-95336.10795243504,-94418.3698880674,-96933.15742911384
F8,Times10,-96352.16042274552,-99195.270671006,-96128.4566696826,-98737.90502187888
F9,Times1,2601.409382773378,2339.840975166759,2628.532421740964,2874.231146667822
F9,Times2,2957.38758996216,2497.998301138733,2527.4235710032062,3031.300173404365
F9,Times3,2942.932173777246,2460.889544315387,2577.6100046378147,2844.864641461209
F9,Times4,2928.6752177982444,2422.050677548001,2892.827192194994,2923.2848976386945
F9,Times5,2737.032513412704,2592.9603585076493,2708.033186845613,2946.109782693355
F9,Times6,2465.95950646077,2265.3240232960297,2860.202263244874,2863.9809764387087
F9,Times7,2708.7981578621248,2430.5670934616187,2796.539366906755,2806.926104464501
F9,Times8,2688.190803922642,2518.018174676492,3022.033379312136,2658.414626634974
F9,Times9,2954.892574559724,2407.2068383505416,2662.342718095091,2896.243756218398
F9,Times10,2736.8333864133883,2758.6446754803787,2876.934252555632,2654.7472349545205
F10,Times1,19.544892225958503,19.205636615819955,19.64815835374107,19.63389577621042
F10,Times2,19.56752821697171,19.236852047222243,19.65618687138112,19.717583253971213
F10,Times3,19.649222375187385,19.0798244970422,19.62034798869283,19.74143927183074
F10,Times4,19.767163392942678,19.120984849440905,19.630800045090584,19.7253044534824
F10,Times5,19.54602318175595,19.052307773736995,19.75536265170095,19.57822404166201
F10,Times6,19.604978328253843,19.15423825087164,19.7471100373069,19.62638957627925
F10,Times7,19.44842028408808,19.09745526766136,19.64099489223822,19.665557138982887
F10,Times8,19.501283280288348,19.280652315187115,19.57781659517137,19.743965435881613
F10,Times9,19.548381188939267,19.09200360790043,19.652603127187305,19.660679126423748
F10,Times10,19.362930983763363,19.30346877440543,19.622619462424527,19.693813328351787
F11,Times1,3.1148125451528124,1.81951931738952,3.480759512750285,3.417485238396972
F11,Times2,3.300421163078992,1.858420512447568,3.361722784559306,3.341298541584678
F11,Times3,3.4628123657919487,1.7747337050021197,3.2290619077386524,3.3921816143180084
F11,Times4,3.422671923965161,1.7678222706805318,3.358947093525239,3.1614108296083487
F11,Times5,3.2675727362913856,1.9286736500543569,3.488828759668184,3.46363334381781
F11,Times6,2.9663855468250224,1.8745667676906208,3.3585413398905555,3.40102679729721
F11,Times7,3.13893257251465,1.840817135942037,3.17322688645364,3.4393503235574694
F11,Times8,3.3514220198637767,1.8471548071096635,3.17432386569011,3.4941199029518866
F11,Times9,3.29422129798883,1.7774334296225047,3.383882238421206,3.326737241073908
F11,Times10,3.275972548792368,1.874665231521471,3.14388504093348,3.288635228446764
F12,Times1,15.414407686479512,12.808064985879431,16.03451015092672,14.631731291570656
F12,Times2,15.13172616273225,13.606207978477205,16.896609301773644,13.778446713775796
F12,Times3,16.38199359756129,13.780912680233696,17.018144376464054,14.807714959995147
F12,Times4,14.64095797735718,12.392142314176043,16.804042299613904,15.929323469765112
F12,Times5,15.448703336556225,14.267443254651882,16.445635717553277,14.750641416787422
F12,Times6,15.107575978105675,13.78574320774417,14.899741054284654,17.23606665971072
F12,Times7,14.929545873187148,13.0201081489626,16.14474349383894,14.414532397011346
F12,Times8,14.074668169178183,12.247973323509823,15.563166809756645,15.812107776339165
F12,Times9,15.88472100240008,13.448595694647626,17.1299250856404,16.561499408703188
F12,Times10,17.764860589301726,12.735511173779402,15.291045990692396,16.984807157324568
F13,Times1,20.228890851163957,6.7759621094441975,18.56639511625224,19.16862728107102
F13,Times2,17.28482052518704,6.265797629606913,21.16300537593908,22.116173656819857
F13,Times3,20.911103238021237,6.135695624218275,19.112160647981643,18.23236182400439
F13,Times4,18.218090311652904,6.552113681877164,20.327319011209998,20.208849099895588
F13,Times5,20.075831366706826,6.312676867259345,20.52848332552992,18.22587724479856
F13,Times6,18.83125671020032,5.98670966809598,19.324498863895208,17.73952253676481
F13,Times7,17.81528043433215,6.6010046528521045,19.9656962506681,18.72947810750996
F13,Times8,19.375598770551644,6.49238073619544,19.98812455788622,20.85443453882376
F13,Times9,18.7360013982126,5.963805456254111,16.903289497949228,19.725309494710643
F13,Times10,23.71795544678421,6.221873216936263,18.11037258041186,19.931951014578583
