,590,593,579,588,589,591,576,587,569,558,592,572,594,542,570,562,575,573,552,555,Function
0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,F8
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F9
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
8,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F10
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,F11
