,ranking
23,531.0
13,532.0
14,533.0
12,534.0
11,535.0
10,536.0
9,537.0
8,538.0
15,539.0
7,540.0
16,541.0
48,542.0
6,543.0
17,544.0
18,545.0
19,546.0
4,547.0
3,548.0
2,549.0
403,550.0
20,551.0
21,552.0
22,553.0
5,554.0
202,555.0
49,556.0
51,557.0
78,558.0
79,559.0
80,560.0
81,561.0
82,562.0
83,563.0
85,564.0
86,565.0
87,566.0
88,567.0
89,568.0
90,569.0
91,570.0
92,571.0
93,572.0
94,573.0
95,574.0
96,575.0
97,576.0
98,577.0
99,578.0
77,579.0
76,580.0
75,581.0
74,582.0
52,583.0
53,584.0
54,585.0
55,586.0
56,587.0
57,588.0
58,589.0
59,590.0
60,591.0
61,592.0
50,593.0
62,594.0
64,595.0
65,596.0
66,597.0
67,598.0
68,599.0
69,600.0
70,601.0
71,602.0
72,603.0
73,604.0
63,605.0
203,606.0
84,607.0
205,608.0
325,609.0
326,610.0
327,611.0
328,612.0
329,613.0
330,614.0
331,615.0
332,616.0
333,617.0
334,618.0
324,619.0
335,620.0
337,621.0
338,622.0
339,623.0
340,624.0
341,625.0
342,626.0
343,627.0
344,628.0
345,629.0
346,630.0
336,631.0
347,632.0
323,633.0
321,634.0
299,635.0
300,636.0
301,637.0
302,638.0
303,639.0
304,640.0
305,641.0
306,642.0
307,643.0
308,644.0
322,645.0
309,646.0
311,647.0
312,648.0
313,649.0
314,650.0
315,651.0
316,652.0
317,653.0
318,654.0
319,655.0
320,656.0
310,657.0
348,658.0
349,659.0
350,660.0
378,661.0
379,662.0
380,663.0
381,664.0
382,665.0
383,666.0
384,667.0
385,668.0
386,669.0
204,670.0
377,671.0
400,672.0
388,673.0
389,674.0
390,675.0
391,676.0
392,677.0
393,678.0
399,679.0
398,680.0
394,681.0
395,682.0
387,683.0
376,684.0
375,685.0
374,686.0
351,687.0
352,688.0
353,689.0
354,690.0
355,691.0
356,692.0
357,693.0
358,694.0
396,695.0
360,696.0
361,697.0
362,698.0
363,699.0
364,700.0
365,701.0
366,702.0
367,703.0
368,704.0
369,705.0
370,706.0
371,707.0
372,708.0
373,709.0
298,710.0
297,711.0
359,712.0
295,713.0
230,714.0
231,715.0
232,716.0
233,717.0
234,718.0
235,719.0
236,720.0
237,721.0
238,722.0
229,723.0
239,724.0
241,725.0
242,726.0
243,727.0
244,728.0
245,729.0
246,730.0
247,731.0
248,732.0
249,733.0
240,734.0
228,735.0
227,736.0
226,737.0
206,738.0
207,739.0
208,740.0
209,741.0
210,742.0
211,743.0
212,744.0
296,745.0
213,746.0
214,747.0
215,748.0
216,749.0
217,750.0
218,751.0
219,752.0
220,753.0
221,754.0
222,755.0
223,756.0
224,757.0
225,758.0
250,759.0
251,760.0
397,761.0
253,762.0
292,763.0
275,764.0
276,765.0
277,766.0
278,767.0
279,768.0
280,769.0
281,770.0
293,771.0
282,772.0
290,773.0
284,774.0
289,775.0
252,776.0
288,777.0
287,778.0
286,779.0
285,780.0
283,781.0
274,782.0
291,783.0
272,784.0
254,785.0
255,786.0
256,787.0
257,788.0
258,789.0
259,790.0
260,791.0
294,792.0
273,793.0
262,794.0
263,795.0
264,796.0
261,797.0
266,798.0
271,799.0
267,800.0
268,801.0
270,802.0
269,803.0
265,804.0
437,805.0
1023,806.0
1006,807.0
1096,808.0
1042,809.0
1059,810.0
1005,811.0
1004,812.0
1078,813.0
1027,814.0
1041,815.0
1095,816.0
1009,817.0
1022,818.0
1077,819.0
693,820.0
1063,821.0
1008,822.0
1040,823.0
1026,824.0
824,825.0
1058,826.0
842,827.0
1099,828.0
823,829.0
1012,830.0
806,831.0
1066,832.0
1081,833.0
1062,834.0
1045,835.0
1114,836.0
1094,837.0
1007,838.0
1044,839.0
1113,840.0
1076,841.0
1102,842.0
1030,843.0
805,844.0
860,845.0
1132,846.0
1080,847.0
1131,848.0
1025,849.0
827,850.0
1029,851.0
1098,852.0
1084,853.0
1033,854.0
1047,855.0
1065,856.0
896,857.0
1048,858.0
878,859.0
1168,860.0
1130,861.0
1011,862.0
822,863.0
1079,864.0
841,865.0
1061,866.0
1015,867.0
1150,868.0
1097,869.0
1149,870.0
1167,871.0
1083,872.0
1101,873.0
859,874.0
1135,875.0
1112,876.0
1117,877.0
1166,878.0
1148,879.0
1186,880.0
826,881.0
1069,882.0
809,883.0
1032,884.0
830,885.0
899,886.0
1028,887.0
1010,888.0
895,889.0
1043,890.0
1051,891.0
1046,892.0
1134,893.0
1116,894.0
1185,895.0
1105,896.0
1087,897.0
1031,898.0
812,899.0
1100,900.0
881,901.0
876,902.0
863,903.0
1120,904.0
848,905.0
1064,906.0
1082,907.0
1014,908.0
1153,909.0
1171,910.0
1184,911.0
825,912.0
1133,913.0
1138,914.0
829,915.0
866,916.0
808,917.0
902,918.0
1115,919.0
1170,920.0
840,921.0
858,922.0
1036,923.0
1104,924.0
804,925.0
1110,926.0
1013,927.0
1119,928.0
898,929.0
862,930.0
1050,931.0
1018,932.0
1152,933.0
877,934.0
201,935.0
844,936.0
932,937.0
1151,938.0
811,939.0
884,940.0
1189,941.0
1072,942.0
1169,943.0
914,944.0
1068,945.0
1086,946.0
1137,947.0
1136,948.0
1156,949.0
1118,950.0
1188,951.0
1174,952.0
807,953.0
894,954.0
845,955.0
1155,956.0
1067,957.0
1035,958.0
1103,959.0
1141,960.0
847,961.0
865,962.0
897,963.0
1017,964.0
833,965.0
1187,966.0
1049,967.0
815,968.0
1090,969.0
691,970.0
1173,971.0
1123,972.0
1108,973.0
901,974.0
837,975.0
869,976.0
1191,977.0
935,978.0
843,979.0
1085,980.0
905,981.0
931,982.0
1192,983.0
1054,984.0
1172,985.0
1053,986.0
1154,987.0
913,988.0
814,989.0
828,990.0
883,991.0
1071,992.0
832,993.0
917,994.0
1140,995.0
1034,996.0
1107,997.0
810,998.0
1139,999.0
928,1000.0
851,1001.0
1016,1002.0
1122,1003.0
1190,1004.0
1177,1005.0
1159,1006.0
861,1007.0
831,1008.0
864,1009.0
846,1010.0
1089,1011.0
904,1012.0
1176,1013.0
900,1014.0
1158,1015.0
880,1016.0
868,1017.0
887,1018.0
938,1019.0
836,1020.0
1121,1021.0
1126,1022.0
818,1023.0
1052,1024.0
850,1025.0
835,1026.0
401,1027.0
817,1028.0
1088,1029.0
1070,1030.0
920,1031.0
1157,1032.0
1144,1033.0
1106,1034.0
639,1035.0
1175,1036.0
1128,1037.0
1195,1038.0
886,1039.0
872,1040.0
882,1041.0
908,1042.0
934,1043.0
854,1044.0
1194,1045.0
813,1046.0
857,1047.0
1193,1048.0
867,1049.0
1162,1050.0
1143,1051.0
923,1052.0
1124,1053.0
916,1054.0
1179,1055.0
890,1056.0
873,1057.0
1125,1058.0
1142,1059.0
903,1060.0
1180,1061.0
638,1062.0
853,1063.0
937,1064.0
941,1065.0
1161,1066.0
892,1067.0
885,1068.0
402,1069.0
849,1070.0
879,1071.0
839,1072.0
974,1073.0
637,1074.0
816,1075.0
907,1076.0
1160,1077.0
871,1078.0
910,1079.0
1178,1080.0
1198,1081.0
834,1082.0
889,1083.0
674,1084.0
1197,1085.0
620,1086.0
1196,1087.0
933,1088.0
919,1089.0
621,1090.0
956,1091.0
855,1092.0
944,1093.0
922,1094.0
870,1095.0
906,1096.0
852,1097.0
971,1098.0
940,1099.0
888,1100.0
821,1101.0
619,1102.0
820,1103.0
1127,1104.0
926,1105.0
936,1106.0
856,1107.0
1093,1108.0
950,1109.0
838,1110.0
803,1111.0
802,1112.0
968,1113.0
1109,1114.0
925,1115.0
918,1116.0
959,1117.0
953,1118.0
965,1119.0
973,1120.0
1092,1121.0
1057,1122.0
939,1123.0
1074,1124.0
601,1125.0
1075,1126.0
915,1127.0
977,1128.0
943,1129.0
801,1130.0
