,,combination163,combination163,combination163,combination163,combination199,combination199,combination199,combination199,combination198,combination198,combination198,combination198,combination23,combination23,combination23,combination23,combination22,combination22,combination22,combination22,combination59,combination59,combination59,combination59,combination95,combination95,combination95,combination95,combination146,combination146,combination146,combination146,combination164,combination164,combination164,combination164,combination162,combination162,combination162,combination162,combination145,combination145,combination145,combination145,combination182,combination182,combination182,combination182,combination144,combination144,combination144,combination144,combination180,combination180,combination180,combination180,combination181,combination181,combination181,combination181,combination5,combination5,combination5,combination5,combination41,combination41,combination41,combination41,combination21,combination21,combination21,combination21,combination110,combination110,combination110,combination110,combination128,combination128,combination128,combination128
F1,Times8,2978.23822293897,3617.376520112806,4116.512586552984,2768.498656140257,3705.249345304621,3557.667213121394,3614.314812614583,5089.322725480749,4526.189830822872,5361.842294209943,4993.968460971659,4499.799353778952,2836.323411454747,1831.171660082469,1965.145781121996,478.3104353506641,2281.781332457208,3633.355859438323,3095.640559592487,2373.300840720304,2803.163303743022,1303.526703924136,3005.444979472104,282.2981038537079,2213.514074329889,1560.378871881434,2077.114332930006,266.6714484894825,9336.004090829014,5638.011269511378,4989.759730560771,4047.981227331214,3284.235502260893,3649.563333169582,3437.43524312858,2361.298194608447,5568.028910636262,4013.60537138567,3380.149582050916,3218.624977578092,5729.020818188136,5023.120750041709,5404.16552721139,5976.92044663125,6198.430980112725,5324.359094795577,4273.05073261589,4051.990035032791,8585.147694167132,7912.215776773171,5935.271896966308,5427.579280043037,6209.408895664191,4507.687801339145,8635.669848281024,4795.930652905331,4208.265818720191,5053.822114403713,4772.582538712365,4431.637218877762,3918.839419252838,6171.36870466498,4044.407383151107,1130.358623494633,3761.555199341904,6269.357651910249,3604.46201003372,730.801664737615,5796.630680299328,3841.557128871526,3761.830303397943,1754.909174090938,4223.307730191509,6590.173708776802,5403.910727583781,5276.474325478363,4299.731173012279,3506.423899854981,2738.74953513181,2288.351462769148
F1,Times9,4219.712801800884,3976.5882237771,3228.06554073534,2747.224255460864,2912.945088583589,3851.841202932953,3509.499953960078,3973.543124417793,3893.251249541937,3486.628903388927,3817.885826625052,6176.256308026249,4061.192431268785,2817.703949070795,3143.10515815438,516.6804458913107,3299.778909836629,3139.517734669262,2481.064753277899,782.3756841584027,3124.637304670639,2803.993554964494,2208.830960099189,321.1581459201714,2038.551871181202,2828.374185141651,2352.808479517902,315.5602705266089,6005.168525869526,4028.983029677964,4084.741206612699,3141.184708955495,3250.088545303725,2229.06857871117,3401.382254493248,2481.248756851335,5160.506568882794,4751.476104274198,4051.610613502293,4019.125415581327,6227.851754277816,6176.675512342008,6878.994217787841,6642.713708040666,3838.759489746137,7710.528516978965,6403.149862407427,5368.924981020607,7407.57910524403,3959.391232669544,7092.629265208861,7346.280844907403,5770.686825523713,7074.80439768243,4027.751451517407,5022.914873241994,4591.755691906576,9269.9670227576,4089.501674949758,4292.325577336749,4585.771746982097,5919.781399217121,3469.377695447925,819.8693005402711,4158.259256578765,5321.044464947565,5163.472039352363,701.3654366769972,4167.698132602884,3444.689242489104,3529.605725347656,1745.04460092906,5856.045926461689,5443.281517743096,4711.627416662549,6352.447427988393,2521.3403194966,4029.148129281965,3785.573106626162,3008.040590593525
F10,Times1,11.0366818978505,10.38754735244533,10.1105078073085,8.664535110058427,10.03354877739378,10.34166059063559,9.899680422540929,8.552255159906993,10.19205439129359,11.21815529647591,10.1473989573497,9.117856557750294,9.999497961265654,9.233327061463587,9.135064873165216,6.196494701541901,9.753774179921422,10.7219048744974,9.312327039180245,9.014876776023403,9.840063651004098,8.790719908929058,9.237189204087283,3.798026861996942,9.057089661029739,9.259391049133491,9.68160889602626,3.216039132038848,11.87555464639319,10.8975090269439,12.45703662624472,10.77577899073652,10.20611092729034,9.818312871583291,8.856860554303232,8.820840056152193,10.65984415260947,10.67320739896544,9.342674224562913,9.733517120150914,11.88015633275582,11.40822218020019,11.74691582924767,10.08095707223299,9.833481069527878,10.69170774831136,11.04342862192689,10.34895722887534,11.94166989198566,12.64367553911413,11.24622803560607,10.52518368842933,11.05009561951472,11.33176954954369,11.21635522633502,10.46905560121216,13.03498363751967,11.31734521912438,11.42015197218589,11.24307421754347,10.67358772015656,10.42874644242304,9.195197095529048,8.539049053772228,11.58775733185051,10.40477455089995,10.15823190080902,6.61321632719171,11.40581309621308,10.94752818221783,10.81107827043682,8.507739968347705,10.74255759375025,11.80439770118281,11.3172550844793,11.50552647635777,9.500634736929594,9.931587000623267,9.600531983746011,7.472219328316179
F10,Times10,11.55320226901034,10.78174779397519,11.00434909754398,9.23873303109876,10.74460760595815,10.65427470662362,10.02883714257277,9.714901660808373,11.57472971465308,10.95842526206379,10.89399536455923,8.911257102712728,9.454378676024994,9.09050019483511,8.611161607426318,5.70708483957366,9.378241918648417,9.024555537845636,10.05102656222143,6.931195997610322,9.643983887879537,8.432952566010151,8.947186995784806,4.016796758128638,9.71855377951369,9.292312259043921,9.331073982810178,5.277844497097522,12.09888553871236,10.47574912990565,11.60952612067022,10.78528585869973,9.349073292089336,9.494092728332044,10.31685769902446,8.358160447372923,11.89530956476159,10.19007574276969,10.04594575960631,9.83674083058729,11.03143176790195,12.77642890410635,10.7517113281522,10.86066403248257,10.85642217071863,12.22568318941605,9.586341259976246,9.236665854338444,10.99362049580717,11.82982235507766,13.27600484142456,10.9438106120291,11.63623316864234,12.91568079284627,10.92393522132494,11.16605537263758,10.99404001509399,10.44181210467853,11.46418360894681,10.6401069133111,11.16958960900106,10.61159271732767,8.895478131043337,6.717062726264002,13.21171344232064,10.22700680981628,9.507638542700615,7.094498295425698,10.95605812376627,9.496094789581248,9.43580763554061,7.620931401910525,10.48828756261921,11.39905815712987,10.70712430305442,11.53319258849415,9.715968938394536,9.72184535961896,9.803627910640344,7.404796681807547
F10,Times2,10.41195535999098,9.850159883175543,10.44402688528171,9.001333506578952,11.30657142272243,11.11221694987061,9.524184913744268,8.60848923687089,10.49043064757603,10.00933555072827,10.64489638105395,9.782432503743237,8.705156969006728,8.978398791587232,9.444260210533987,5.909163774333077,10.1899013028024,9.437941980470365,9.87850390249995,6.75892637751063,8.902091618322618,9.767692040246324,8.125472827998305,5.064986966276663,8.691917972764678,8.73482716312521,9.395060423127847,5.778405097796728,11.15627150393636,10.91471365465055,10.25034522141308,9.250539193717973,8.642644645083314,9.7829779610759,10.36370416657589,8.110312693429538,11.37470821023953,10.31901069880188,9.798272832457362,9.507028510814997,11.01910671844315,12.05967478955463,11.52552742590825,9.393306260859887,10.83982731129542,10.0702388488194,10.69868202236833,9.842343001020422,10.75475320284855,10.26886007087384,13.13334453290062,10.11479835735434,11.07734613333366,11.07937028848077,11.7439465247603,10.32781428426389,12.43950833971141,11.9225467255121,11.20204377434725,9.479275377557498,11.05763328554766,10.11450795555697,10.83990757827681,8.029515499172533,12.07805620107588,11.01375247884462,10.60952345151117,6.45931500649556,10.8202939517938,9.7429943199827,10.83669419103022,8.078844692326152,11.21899784299825,11.43808651516873,11.39429569484156,9.901817871380807,10.49294089619968,8.950406495967062,10.16617963739487,8.455424629536935
F10,Times3,11.02433663692601,10.64466049546563,9.26893177792169,7.934551670120129,10.32255493169246,10.81389406568232,10.18424820951202,8.68046703988682,10.493245853771,10.43513702205463,10.04441348136259,8.511357256788378,9.993682976987907,9.758388760113348,9.42681171481785,6.186806967005943,10.25463995933343,8.655619616283667,10.32330926521864,6.872162144067987,8.747559981589394,8.992081433930373,8.270206900601789,4.058406870638112,9.77871657224737,9.59202328492212,9.256311527297495,4.348416026022257,11.23315427696863,10.52400854063114,10.25155469482188,9.236683078888271,8.959833812024986,9.697450717730856,9.750854931654265,7.787680956563864,10.67368851585584,9.781192618017462,9.775991062993926,9.409190349700184,11.36978321372234,12.7650300172658,11.13693382280085,10.17596245981362,12.51454523706416,11.5065250147888,10.6106362388632,10.40681788081637,12.46328194792957,11.68634499986099,11.74521434894199,9.794182227165619,12.43007733432804,11.63789297228057,11.32861021558175,10.20902294863058,10.57077084204904,11.71923594604442,11.46810478227394,10.74231990773726,11.93735592213437,10.69008072538437,12.49675410878546,9.19871871454607,11.0115188473256,10.0975247884355,11.80705101052321,7.868131695098437,10.85866455514928,10.24255080569861,10.67706495568902,8.382918198152288,13.14122315064668,11.16191207808003,10.47342291306413,10.08657894287906,9.6323348948486,9.281397556194449,10.35087156762063,9.16687162691705
F10,Times4,10.38791830298498,8.675739488209668,10.37448070744206,9.023307060823509,10.50211051530977,10.13523447087052,9.890204582177578,8.384146964798376,11.17526578753156,11.37946823097004,10.18234944274815,11.04268427201867,10.69001292411723,9.779637846276188,8.940272069785838,6.660127685783698,10.39639225263094,8.803359976671242,9.630873098953838,5.23939123679104,10.1202837044493,9.210978309160428,7.467501126131744,4.630074463610288,10.29680918167865,8.922255317586815,8.32807661548273,5.844644797242804,10.99990417388121,11.07712221848236,11.00205189811118,10.37009859248432,10.28883891148608,10.80024056506462,9.691249642508993,9.250577386952623,9.74539000558186,10.86758564917117,10.13858735231881,8.452891227804486,12.24271356673123,10.73730265125783,11.06522928443701,10.05257123099329,11.00272405820021,10.68958435021519,11.24483008893564,10.11472483444072,11.01833367620715,11.7398956383783,12.35989072955575,11.55677506076825,13.14489652369198,12.29255462379131,10.91048066300561,9.983750827300703,11.87707533414682,11.59848618336143,10.17129873836736,10.55543708298941,11.72156879640808,9.515525666408841,10.1544601560576,7.471890704137326,11.19659284603389,9.56317954569608,11.03514673018988,6.195411787296738,9.495967679178097,9.79710471084356,9.524891180183127,9.397391431399875,12.02814376698275,12.22881197954059,10.27420479391855,8.608207213757204,10.14818827434316,10.12611442857721,8.627807830994472,8.083064096305037
F10,Times5,9.65667526166065,10.37573151612286,9.23543989696031,8.927288444117371,10.105433098817,9.717601321381608,9.971233708473605,7.933159278361652,11.46028580054593,10.21273880316147,12.06329565671412,8.178065272538959,10.66958853073144,8.52395368780108,8.55783753910194,4.67026820991831,11.24161129627455,10.36754623029068,10.13058355258895,6.729158411417384,9.83324298116887,8.83622061251156,8.576485284253694,5.650051952349688,10.49410767247063,9.227939596229362,8.557247740130595,3.85170397591968,10.26372590917021,11.27735414484655,10.53760631229457,9.78805668146804,9.977133657552692,10.31583055757386,9.197024427382066,8.306363705875203,10.96423864337209,11.60640137858776,9.939455295177648,9.210031490377741,12.61078184448056,10.6569318909123,11.62365751620822,10.96657487662878,10.93481434890329,10.66747070437116,10.03822154825402,10.01252523245864,12.44998658043645,11.26857429828616,11.43447742891853,10.54541958880911,13.0105429398896,11.99497888212559,11.53871661553191,10.98027719205994,11.458957285245,12.03043744096973,11.29487909867595,9.677327464018166,11.7334710147733,7.640570772002597,11.15639294513087,7.368833233363857,11.89221469986318,10.49011955675445,10.19383127421511,6.375759411216292,9.649880300226078,10.03563053934283,9.462455624286155,6.424117664097274,12.68957606643915,12.0122970203691,9.6600931173518,9.836354997493226,9.559641046526155,9.993369850970732,9.058701322525422,8.315132815962125
F10,Times6,10.12612889748233,10.9791459405474,10.79674221748138,7.948434703851833,10.18841796891967,10.78754436896324,8.7807612630175,9.878226814850779,10.22108688199658,10.36466187993518,10.22330702995148,9.186622266584415,9.85217893426034,8.548004227647994,8.737945064152983,8.686932193440034,9.270935815839476,9.585825696472686,8.887916225279424,4.355523262647612,9.895812202394417,8.418619756695426,9.086380178271009,5.538585512320257,10.21352839607032,8.885484535245444,8.744132823123062,5.595047555239141,12.85081080068005,12.1764064404954,10.11701740094168,9.31227752507718,8.944736914185095,9.713811727289805,10.78304418037189,8.543007822412147,10.28358719064635,10.4668007204566,10.73037708584305,9.03046145204622,12.04265675585904,11.17276311003176,12.09748942015142,9.88998866601936,12.37722190360031,10.50372369775005,12.19292825556706,10.1704178463948,13.12964621651965,12.93750205939174,13.34301851472753,11.66877407288323,12.92731944851396,12.88839162519857,11.22756876290777,10.01834325057361,11.07427608196548,11.04218702965203,10.30077739861711,9.830354794589702,11.41183759120115,11.48256633355798,10.25865257921756,8.068938652156177,12.02117642291327,10.55990347693991,11.26337758103146,8.02989293101921,11.20205276121469,9.631236678040441,10.62305867976425,5.593444525333339,10.51335011653628,12.61156458879462,10.35831785189681,9.08108207479214,10.30525976196059,9.787873846294016,10.03877033117362,6.925926411800948
F10,Times7,10.25234317931864,9.75814849908552,10.68443403302785,8.62468506953113,10.33403134556244,10.32783664931617,10.13056457743744,8.527314337452378,11.14702101107142,9.921837620451141,10.21026120331005,9.627414488299376,9.613936320283447,10.24469459319524,8.952317273086097,5.144015235366844,8.090368305564917,9.646438988278433,9.57415458726368,6.862360197450464,10.35431099058242,8.519574181591665,8.957916941769795,6.051834373081547,9.809367879771315,8.451613752303576,9.362521597505904,5.41846396149659,10.5727114729745,9.879445311727014,11.5429350711208,10.4945887713394,9.845067979715303,9.570625665317102,8.620079308682175,9.208814839403052,10.09815585553454,10.67523299964301,10.10147033397717,9.146121323980314,11.71870960793399,11.07922876705942,11.21052166851868,10.73265797465345,10.27364458655646,12.31546592487441,11.18462208153301,8.67231024996336,11.67837802955395,12.12433648888102,11.4507962685827,10.84673327118688,12.10127002862076,10.83897569920888,12.34514091545543,11.46969741629509,12.07243931699059,11.61472735244865,12.01444112498289,9.854310527125403,10.66829004093805,11.13524195306496,10.8576105391995,7.109819693914496,11.88840905638999,9.948368279673847,10.24752517077104,6.070077960611947,11.96948611936577,9.813057433712437,10.86128462185198,6.559652368487644,10.2105068830153,11.21360228528481,10.4895313571834,10.35956301772818,9.71497525454616,10.61572947741961,9.038385120368947,7.624981501581122
F10,Times8,10.09142189011699,9.580580648070482,10.62607509454016,8.367013162942483,10.08606991420879,10.12660546723685,9.244617142973098,9.22292423827918,11.04152226351466,10.02955244802577,10.04464814152207,8.768118911991056,8.697822119627155,9.279787715500667,9.18495904723224,6.758126554153119,10.77181311217977,8.89588046724932,9.009495913750964,6.666042924056445,9.902742649863029,8.491031407844986,9.453734270263887,6.316123219011153,9.571126977097519,9.806940735658761,8.322395645022919,5.60671552425856,11.49810257387562,11.2089150383624,10.86915109790364,11.85075725384708,10.06561154812888,9.830352108923899,11.47787853395049,8.828625964678988,10.29579973365567,10.26496098684052,10.78634056984685,8.82728646754081,11.5494974868674,8.88530011517382,12.99459959908247,10.67444761022972,11.84114319847016,11.09500533032447,12.00183738972021,11.01624335849428,12.85717564870477,12.03416853351828,11.57286227048861,11.02074718934409,10.80705116018649,12.09588232576875,11.90179446182054,8.704053706253314,11.68764285026555,11.87144286866877,11.95894653764275,10.72301322404152,10.47498509078986,10.07417542954761,9.802131203964812,7.972070085639821,12.25474554756405,10.997314772142,10.36230987671532,7.140490924450926,10.57512695505824,11.0833381390463,10.68584946770221,5.973686368288444,11.74194714504171,11.24385043206681,10.62377187918856,9.689748604269578,9.596588010233942,9.888676771986114,8.136487260490215,8.751167466232896
F10,Times9,10.26092824155842,9.307860942090063,11.08095488273985,10.54540522531108,9.347425223291063,10.01055557080378,9.332749333563232,8.183052262181805,12.12872549654427,8.936647757121264,10.29544817464801,8.616500179978697,9.297640248340842,9.897178118312967,10.27010826947862,6.626915425719661,10.64257376356704,9.498791273657869,10.35549525655472,7.358822407946736,8.911234299734135,8.309147413979277,9.993248502564239,4.47587560080996,8.865157634902125,9.313757418549182,9.45816692256991,4.372421770114164,10.52998895326376,11.829202850535,10.17441012511544,8.54293511100411,10.17136088790987,9.866319460219994,8.908762999995417,8.451660939697458,9.671349441831623,10.57702303043987,10.02718875272332,8.839812583912483,11.6211503184193,13.00786923067091,11.36002185826336,10.31711276062124,10.34701835386738,11.65384801511902,11.15662584597476,9.977894841414104,13.09143213571948,11.20396039252105,12.61284072960411,11.72159086994875,11.55720675327286,11.43771630030759,11.50533565654974,11.4456046495715,12.5537645638665,11.19318323218198,11.07893835043201,10.28496498400892,11.90252044740136,10.6607110879608,11.43181927094098,7.290754869505433,12.35152907665813,9.546018831346199,11.16931363329769,6.694336268290211,10.60743833550215,10.17065881693235,10.6705816771666,9.156388134347344,11.68486977813102,11.56018258537159,10.6116398448731,10.13708785551261,11.06952608709155,11.16852047345632,10.05979443276897,8.510046404007712
