,num_generations,mutation_rate,num_individuals,crossover_rate,mutation_type,crossover_type,local_search_rate,local_search_type,search_radius,threshold,dimensions,gg,selection_method,length_of_local_search,redo_local_search_rate,fitness_function,algorithm
40,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,1,Lamarck
41,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,1,Baldwin
42,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,2,Baseline
43,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,2,Lamarck
44,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,2,Baldwin
45,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,3,Baseline
46,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,3,Lamarck
47,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,3,Baldwin
48,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,4,Baseline
49,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,4,Lamarck
50,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,4,Baldwin
51,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,5,Baseline
52,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,5,Lamarck
53,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,5,Baldwin
54,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,6,Baseline
55,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,6,Lamarck
56,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,6,Baldwin
57,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,7,Baseline
58,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,7,Lamarck
59,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,7,Baldwin
60,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,8,Baseline
61,1000000,0.03,100,0.7,Normal,Probabilistic_crossover,0.5,Uniform,0.05,0.0001,100,0.05,sorted_selection_part,1,0,8,Lamarck
