,ranking
1,1.0
601,2.0
607,3.0
608,4.0
609,5.0
610,6.0
611,7.0
612,8.0
613,9.0
614,10.0
615,11.0
616,12.0
617,13.0
618,14.0
622,15.0
623,16.0
624,17.0
625,18.0
626,19.0
627,20.0
628,21.0
629,22.0
630,23.0
631,24.0
1199,25.0
599,26.0
594,27.0
593,28.0
567,29.0
568,30.0
569,31.0
570,32.0
571,33.0
572,34.0
573,35.0
574,36.0
575,37.0
576,38.0
577,39.0
632,40.0
578,41.0
580,42.0
582,43.0
584,44.0
585,45.0
586,46.0
587,47.0
588,48.0
589,49.0
590,50.0
591,51.0
592,52.0
579,53.0
566,54.0
633,55.0
635,56.0
668,57.0
669,58.0
670,59.0
671,60.0
672,61.0
676,62.0
679,63.0
680,64.0
681,65.0
682,66.0
683,67.0
684,68.0
685,69.0
686,70.0
687,71.0
688,72.0
689,73.0
690,74.0
692,75.0
693,76.0
694,77.0
695,78.0
696,79.0
667,80.0
666,81.0
665,82.0
664,83.0
636,84.0
637,85.0
639,86.0
641,87.0
643,88.0
644,89.0
645,90.0
646,91.0
647,92.0
648,93.0
649,94.0
634,95.0
650,96.0
652,97.0
653,98.0
654,99.0
655,100.0
656,101.0
657,102.0
658,103.0
660,104.0
661,105.0
662,106.0
663,107.0
651,108.0
697,109.0
564,110.0
561,111.0
478,112.0
479,113.0
480,114.0
481,115.0
482,116.0
483,117.0
484,118.0
485,119.0
486,120.0
487,121.0
488,122.0
489,123.0
490,124.0
491,125.0
492,126.0
493,127.0
494,128.0
495,129.0
496,130.0
497,131.0
498,132.0
499,133.0
500,134.0
477,135.0
476,136.0
472,137.0
471,138.0
444,139.0
445,140.0
446,141.0
447,142.0
448,143.0
449,144.0
450,145.0
451,146.0
452,147.0
454,148.0
457,149.0
501,150.0
458,151.0
460,152.0
461,153.0
462,154.0
463,155.0
464,156.0
465,157.0
466,158.0
467,159.0
468,160.0
469,161.0
470,162.0
459,163.0
562,164.0
502,165.0
504,166.0
535,167.0
536,168.0
537,169.0
538,170.0
539,171.0
540,172.0
541,173.0
542,174.0
543,175.0
544,176.0
548,177.0
549,178.0
550,179.0
551,180.0
552,181.0
553,182.0
554,183.0
555,184.0
556,185.0
557,186.0
558,187.0
559,188.0
560,189.0
534,190.0
533,191.0
532,192.0
531,193.0
505,194.0
506,195.0
507,196.0
508,197.0
509,198.0
511,199.0
512,200.0
513,201.0
514,202.0
515,203.0
516,204.0
503,205.0
517,206.0
519,207.0
520,208.0
521,209.0
522,210.0
523,211.0
524,212.0
525,213.0
526,214.0
527,215.0
528,216.0
530,217.0
518,218.0
698,219.0
699,220.0
700,221.0
1042,222.0
1044,223.0
1045,224.0
1047,225.0
1048,226.0
1056,227.0
1057,228.0
1058,229.0
1059,230.0
1060,231.0
1061,232.0
1062,233.0
1063,234.0
1064,235.0
1065,236.0
1066,237.0
1073,238.0
1074,239.0
1076,240.0
1077,241.0
1078,242.0
1079,243.0
1080,244.0
1041,245.0
1040,246.0
1039,247.0
1038,248.0
963,249.0
964,250.0
965,251.0
983,252.0
999,253.0
1000,254.0
1004,255.0
1005,256.0
1006,257.0
1007,258.0
1008,259.0
1081,260.0
1009,261.0
1020,262.0
1021,263.0
1022,264.0
1023,265.0
1024,266.0
1025,267.0
1026,268.0
1027,269.0
1029,270.0
1030,271.0
1037,272.0
1015,273.0
947,274.0
1083,275.0
1091,276.0
1135,277.0
1138,278.0
1145,279.0
1146,280.0
1148,281.0
1149,282.0
1150,283.0
1163,284.0
1164,285.0
1165,286.0
1166,287.0
1167,288.0
1168,289.0
1169,290.0
1170,291.0
1171,292.0
1181,293.0
1182,294.0
1183,295.0
1184,296.0
1185,297.0
1186,298.0
1189,299.0
1134,300.0
1133,301.0
1132,302.0
1131,303.0
1092,304.0
1093,305.0
1094,306.0
1095,307.0
1096,308.0
1097,309.0
1098,310.0
1099,311.0
1100,312.0
1101,313.0
1102,314.0
1084,315.0
1109,316.0
1111,317.0
1112,318.0
1113,319.0
1114,320.0
1116,321.0
1117,322.0
1120,323.0
1127,324.0
1128,325.0
1129,326.0
1130,327.0
1110,328.0
945,329.0
932,330.0
929,331.0
733,332.0
734,333.0
735,334.0
736,335.0
737,336.0
738,337.0
739,338.0
740,339.0
741,340.0
742,341.0
743,342.0
744,343.0
750,344.0
751,345.0
752,346.0
754,347.0
755,348.0
756,349.0
757,350.0
758,351.0
759,352.0
760,353.0
761,354.0
732,355.0
731,356.0
730,357.0
729,358.0
701,359.0
702,360.0
703,361.0
704,362.0
705,363.0
706,364.0
707,365.0
708,366.0
709,367.0
712,368.0
714,369.0
762,370.0
715,371.0
717,372.0
718,373.0
719,374.0
720,375.0
721,376.0
722,377.0
723,378.0
724,379.0
725,380.0
726,381.0
727,382.0
716,383.0
764,384.0
765,385.0
766,386.0
797,387.0
798,388.0
799,389.0
800,390.0
806,391.0
819,392.0
820,393.0
822,394.0
823,395.0
824,396.0
837,397.0
796,398.0
842,399.0
856,400.0
860,401.0
862,402.0
875,403.0
878,404.0
892,405.0
893,406.0
895,407.0
911,408.0
927,409.0
928,410.0
855,411.0
443,412.0
795,413.0
793,414.0
767,415.0
768,416.0
