,ranking
1,1.0
565,2.0
566,3.0
567,4.0
568,5.0
569,6.0
570,7.0
571,8.0
572,9.0
573,10.0
574,11.0
564,12.0
575,13.0
577,14.0
578,15.0
579,16.0
580,17.0
581,18.0
582,19.0
583,20.0
584,21.0
585,22.0
586,23.0
576,24.0
563,25.0
562,26.0
561,27.0
538,28.0
539,29.0
540,30.0
541,31.0
542,32.0
543,33.0
544,34.0
545,35.0
546,36.0
547,37.0
548,38.0
549,39.0
550,40.0
551,41.0
552,42.0
553,43.0
554,44.0
555,45.0
556,46.0
557,47.0
558,48.0
559,49.0
560,50.0
587,51.0
588,52.0
589,53.0
590,54.0
624,55.0
625,56.0
626,57.0
627,58.0
628,59.0
629,60.0
630,61.0
631,62.0
632,63.0
633,64.0
634,65.0
635,66.0
636,67.0
640,68.0
641,69.0
642,70.0
643,71.0
644,72.0
645,73.0
646,74.0
647,75.0
648,76.0
649,77.0
623,78.0
537,79.0
622,80.0
617,81.0
591,82.0
592,83.0
593,84.0
594,85.0
595,86.0
596,87.0
597,88.0
598,89.0
599,90.0
1199,91.0
604,92.0
605,93.0
606,94.0
607,95.0
608,96.0
609,97.0
610,98.0
611,99.0
612,100.0
613,101.0
614,102.0
615,103.0
616,104.0
618,105.0
650,106.0
536,107.0
534,108.0
458,109.0
459,110.0
460,111.0
461,112.0
462,113.0
463,114.0
464,115.0
465,116.0
466,117.0
467,118.0
457,119.0
468,120.0
470,121.0
471,122.0
472,123.0
473,124.0
474,125.0
475,126.0
476,127.0
477,128.0
478,129.0
479,130.0
469,131.0
456,132.0
455,133.0
454,134.0
431,135.0
432,136.0
433,137.0
434,138.0
435,139.0
436,140.0
437,141.0
438,142.0
439,143.0
440,144.0
441,145.0
442,146.0
443,147.0
444,148.0
445,149.0
446,150.0
447,151.0
448,152.0
449,153.0
450,154.0
451,155.0
452,156.0
453,157.0
480,158.0
481,159.0
482,160.0
483,161.0
511,162.0
512,163.0
513,164.0
514,165.0
515,166.0
516,167.0
517,168.0
518,169.0
519,170.0
520,171.0
521,172.0
522,173.0
523,174.0
524,175.0
525,176.0
526,177.0
527,178.0
528,179.0
529,180.0
530,181.0
531,182.0
532,183.0
533,184.0
510,185.0
535,186.0
509,187.0
507,188.0
484,189.0
485,190.0
486,191.0
487,192.0
488,193.0
489,194.0
490,195.0
491,196.0
492,197.0
493,198.0
494,199.0
495,200.0
496,201.0
497,202.0
498,203.0
499,204.0
500,205.0
501,206.0
502,207.0
503,208.0
504,209.0
505,210.0
506,211.0
508,212.0
651,213.0
652,214.0
653,215.0
791,216.0
792,217.0
793,218.0
794,219.0
795,220.0
796,221.0
797,222.0
798,223.0
799,224.0
800,225.0
790,226.0
806,227.0
824,228.0
842,229.0
860,230.0
874,231.0
875,232.0
893,233.0
911,234.0
929,235.0
1004,236.0
1005,237.0
823,238.0
789,239.0
788,240.0
787,241.0
764,242.0
765,243.0
766,244.0
767,245.0
768,246.0
769,247.0
770,248.0
771,249.0
772,250.0
773,251.0
774,252.0
775,253.0
776,254.0
777,255.0
778,256.0
779,257.0
780,258.0
781,259.0
782,260.0
783,261.0
784,262.0
785,263.0
786,264.0
1006,265.0
1007,266.0
1008,267.0
1009,268.0
1094,269.0
1095,270.0
1096,271.0
1098,272.0
1102,273.0
1112,274.0
1113,275.0
1114,276.0
1130,277.0
1131,278.0
1132,279.0
1145,280.0
1146,281.0
1147,282.0
1150,283.0
1163,284.0
1164,285.0
1165,286.0
1167,287.0
1168,288.0
1181,289.0
1182,290.0
1183,291.0
1084,292.0
763,293.0
1081,294.0
1078,295.0
1011,296.0
1012,297.0
1022,298.0
1023,299.0
1024,300.0
1025,301.0
1026,302.0
1027,303.0
1029,304.0
1030,305.0
1040,306.0
1041,307.0
1042,308.0
1044,309.0
1045,310.0
1048,311.0
1058,312.0
1059,313.0
1060,314.0
1062,315.0
1063,316.0
1076,317.0
1077,318.0
1080,319.0
762,320.0
761,321.0
760,322.0
683,323.0
684,324.0
685,325.0
686,326.0
687,327.0
688,328.0
689,329.0
690,330.0
691,331.0
692,332.0
693,333.0
694,334.0
695,335.0
696,336.0
697,337.0
698,338.0
699,339.0
700,340.0
701,341.0
702,342.0
703,343.0
704,344.0
705,345.0
682,346.0
706,347.0
681,348.0
679,349.0
654,350.0
655,351.0
656,352.0
657,353.0
658,354.0
659,355.0
660,356.0
661,357.0
662,358.0
663,359.0
664,360.0
665,361.0
666,362.0
667,363.0
668,364.0
669,365.0
670,366.0
671,367.0
672,368.0
675,369.0
676,370.0
677,371.0
678,372.0
680,373.0
430,374.0
707,375.0
709,376.0
737,377.0
738,378.0
739,379.0
740,380.0
741,381.0
742,382.0
743,383.0
744,384.0
745,385.0
746,386.0
747,387.0
748,388.0
749,389.0
750,390.0
751,391.0
752,392.0
753,393.0
754,394.0
755,395.0
756,396.0
757,397.0
758,398.0
759,399.0
736,400.0
708,401.0
735,402.0
733,403.0
710,404.0
711,405.0
712,406.0
713,407.0
714,408.0
715,409.0
716,410.0
717,411.0
718,412.0
719,413.0
720,414.0
721,415.0
722,416.0
723,417.0
724,418.0
725,419.0
726,420.0
727,421.0
728,422.0
729,423.0
730,424.0
731,425.0
732,426.0
734,427.0
429,428.0
600,429.0
427,430.0
137,431.0
138,432.0
139,433.0
140,434.0
141,435.0
142,436.0
143,437.0
144,438.0
145,439.0
146,440.0
147,441.0
148,442.0
149,443.0
150,444.0
151,445.0
152,446.0
153,447.0
154,448.0
155,449.0
156,450.0
157,451.0
158,452.0
159,453.0
136,454.0
160,455.0
135,456.0
133,457.0
110,458.0
111,459.0
112,460.0
113,461.0
114,462.0
115,463.0
116,464.0
117,465.0
118,466.0
119,467.0
120,468.0
121,469.0
122,470.0
123,471.0
124,472.0
125,473.0
126,474.0
127,475.0
128,476.0
129,477.0
130,478.0
131,479.0
132,480.0
134,481.0
161,482.0
162,483.0
163,484.0
192,485.0
193,486.0
194,487.0
195,488.0
196,489.0
197,490.0
198,491.0
199,492.0
200,493.0
203,494.0
204,495.0
205,496.0
206,497.0
207,498.0
208,499.0
209,500.0
210,501.0
211,502.0
212,503.0
213,504.0
214,505.0
215,506.0
216,507.0
191,508.0
190,509.0
189,510.0
188,511.0
164,512.0
165,513.0
166,514.0
167,515.0
168,516.0
169,517.0
170,518.0
171,519.0
172,520.0
173,521.0
174,522.0
109,523.0
175,524.0
177,525.0
178,526.0
179,527.0
180,528.0
181,529.0
182,530.0
183,531.0
184,532.0
185,533.0
186,534.0
187,535.0
176,536.0
217,537.0
108,538.0
106,539.0
29,540.0
30,541.0
31,542.0
32,543.0
33,544.0
34,545.0
35,546.0
36,547.0
37,548.0
38,549.0
39,550.0
40,551.0
41,552.0
42,553.0
43,554.0
44,555.0
45,556.0
46,557.0
47,558.0
48,559.0
49,560.0
50,561.0
51,562.0
28,563.0
52,564.0
27,565.0
25,566.0
2,567.0
3,568.0
4,569.0
5,570.0
6,571.0
7,572.0
8,573.0
9,574.0
10,575.0
11,576.0
12,577.0
13,578.0
14,579.0
15,580.0
16,581.0
17,582.0
18,583.0
19,584.0
20,585.0
21,586.0
22,587.0
23,588.0
24,589.0
26,590.0
53,591.0
54,592.0
55,593.0
83,594.0
84,595.0
85,596.0
86,597.0
87,598.0
88,599.0
89,600.0
90,601.0
91,602.0
92,603.0
93,604.0
94,605.0
95,606.0
96,607.0
97,608.0
98,609.0
99,610.0
100,611.0
101,612.0
102,613.0
103,614.0
104,615.0
105,616.0
82,617.0
81,618.0
80,619.0
79,620.0
56,621.0
57,622.0
58,623.0
59,624.0
60,625.0
61,626.0
62,627.0
63,628.0
64,629.0
65,630.0
66,631.0
107,632.0
428,633.0
68,634.0
69,635.0
70,636.0
71,637.0
72,638.0
73,639.0
74,640.0
75,641.0
76,642.0
77,643.0
78,644.0
67,645.0
218,646.0
1200,647.0
220,648.0
343,649.0
344,650.0
345,651.0
346,652.0
347,653.0
348,654.0
349,655.0
350,656.0
351,657.0
352,658.0
353,659.0
354,660.0
355,661.0
356,662.0
357,663.0
358,664.0
359,665.0
360,666.0
423,667.0
422,668.0
361,669.0
372,670.0
420,671.0
342,672.0
419,673.0
341,674.0
339,675.0
316,676.0
317,677.0
318,678.0
319,679.0
320,680.0
321,681.0
322,682.0
323,683.0
324,684.0
325,685.0
326,686.0
327,687.0
328,688.0
329,689.0
330,690.0
331,691.0
332,692.0
333,693.0
334,694.0
335,695.0
336,696.0
337,697.0
338,698.0
340,699.0
315,700.0
362,701.0
418,702.0
395,703.0
394,704.0
393,705.0
392,706.0
391,707.0
390,708.0
389,709.0
388,710.0
387,711.0
386,712.0
385,713.0
384,714.0
