,ranking
189,1.0
188,2.0
592,3.0
192,4.0
187,5.0
169,6.0
587,7.0
390,8.0
588,9.0
151,10.0
155,11.0
252,12.0
26,13.0
395,14.0
589,15.0
591,16.0
796,17.0
153,18.0
398,19.0
191,20.0
130,21.0
190,22.0
1062,23.0
1099,24.0
32,25.0
23,26.0
393,27.0
759,28.0
552,29.0
935,30.0
396,31.0
798,32.0
776,33.0
590,34.0
1114,35.0
1135,36.0
1150,37.0
173,38.0
154,39.0
397,40.0
193,41.0
1024,42.0
135,43.0
172,44.0
134,45.0
376,46.0
140,47.0
170,48.0
375,49.0
283,50.0
71,51.0
1025,52.0
1008,53.0
1012,54.0
101,55.0
47,56.0
316,57.0
761,58.0
282,59.0
357,60.0
179,61.0
1081,62.0
932,63.0
797,64.0
1022,65.0
1029,66.0
1168,67.0
1167,68.0
968,69.0
1067,70.0
1104,71.0
9,72.0
380,73.0
1186,74.0
1116,75.0
394,76.0
345,77.0
100,78.0
223,79.0
358,80.0
1076,81.0
1065,82.0
260,83.0
1169,84.0
1048,85.0
1083,86.0
1084,87.0
963,88.0
1068,89.0
250,90.0
235,91.0
288,92.0
199,93.0
384,94.0
31,95.0
306,96.0
294,97.0
14,98.0
1058,99.0
1030,100.0
157,101.0
381,102.0
361,103.0
1079,104.0
1174,105.0
1105,106.0
1026,107.0
1170,108.0
1189,109.0
267,110.0
237,111.0
8,112.0
392,113.0
185,114.0
232,115.0
377,116.0
297,117.0
1151,118.0
388,119.0
243,120.0
228,121.0
25,122.0
156,123.0
224,124.0
777,125.0
194,126.0
572,127.0
593,128.0
1119,129.0
1009,130.0
1156,131.0
1094,132.0
1102,133.0
35,134.0
822,135.0
786,136.0
363,137.0
370,138.0
221,139.0
122,140.0
116,141.0
182,142.0
1032,143.0
1115,144.0
494,145.0
858,146.0
1051,147.0
1188,148.0
146,149.0
103,150.0
178,151.0
795,152.0
758,153.0
44,154.0
334,155.0
184,156.0
714,157.0
163,158.0
7,159.0
271,160.0
201,161.0
291,162.0
379,163.0
49,164.0
231,165.0
107,166.0
148,167.0
1023,168.0
1132,169.0
570,170.0
