,iterations,mutation_rate,num_individuals,range_mutation,crossover_probability,Mutation_type,Crossover_type
91,1000000,0.2,200,0.01,0.5,Normal,Linear_combination_crossover
92,1000000,0.2,200,0.01,0.6,Normal,Linear_combination_crossover
93,1000000,0.2,200,0.01,0.7,Normal,Linear_combination_crossover
94,1000000,0.2,200,0.25,0.5,Normal,Linear_combination_crossover
95,1000000,0.2,200,0.25,0.6,Normal,Linear_combination_crossover
96,1000000,0.2,200,0.25,0.7,Normal,Linear_combination_crossover
97,1000000,0.2,200,0.55,0.5,Normal,Linear_combination_crossover
98,1000000,0.2,200,0.55,0.6,Normal,Linear_combination_crossover
99,1000000,0.2,200,0.55,0.7,Normal,Linear_combination_crossover
100,1000000,0.2,200,0.9,0.5,Normal,Linear_combination_crossover
101,1000000,0.2,200,0.9,0.6,Normal,Linear_combination_crossover
102,1000000,0.2,200,0.9,0.7,Normal,Linear_combination_crossover
103,1000000,0.2,200,2.0,0.5,Normal,Linear_combination_crossover
104,1000000,0.2,200,2.0,0.6,Normal,Linear_combination_crossover
105,1000000,0.2,200,2.0,0.7,Normal,Linear_combination_crossover
106,1000000,0.2,200,5.0,0.5,Normal,Linear_combination_crossover
107,1000000,0.2,200,5.0,0.6,Normal,Linear_combination_crossover
108,1000000,0.2,200,5.0,0.7,Normal,Linear_combination_crossover
109,1000000,0.5,100,0.01,0.5,Normal,Linear_combination_crossover
110,1000000,0.5,100,0.01,0.6,Normal,Linear_combination_crossover
111,1000000,0.5,100,0.01,0.7,Normal,Linear_combination_crossover
112,1000000,0.5,100,0.25,0.5,Normal,Linear_combination_crossover
113,1000000,0.5,100,0.25,0.6,Normal,Linear_combination_crossover
114,1000000,0.5,100,0.25,0.7,Normal,Linear_combination_crossover
115,1000000,0.5,100,0.55,0.5,Normal,Linear_combination_crossover
116,1000000,0.5,100,0.55,0.6,Normal,Linear_combination_crossover
117,1000000,0.5,100,0.55,0.7,Normal,Linear_combination_crossover
118,1000000,0.5,100,0.9,0.5,Normal,Linear_combination_crossover
119,1000000,0.5,100,0.9,0.6,Normal,Linear_combination_crossover
120,1000000,0.5,100,0.9,0.7,Normal,Linear_combination_crossover
121,1000000,0.5,100,2.0,0.5,Normal,Linear_combination_crossover
122,1000000,0.5,100,2.0,0.6,Normal,Linear_combination_crossover
123,1000000,0.5,100,2.0,0.7,Normal,Linear_combination_crossover
124,1000000,0.5,100,5.0,0.5,Normal,Linear_combination_crossover
125,1000000,0.5,100,5.0,0.6,Normal,Linear_combination_crossover
126,1000000,0.5,100,5.0,0.7,Normal,Linear_combination_crossover
127,1000000,0.5,200,0.01,0.5,Normal,Linear_combination_crossover
128,1000000,0.5,200,0.01,0.6,Normal,Linear_combination_crossover
129,1000000,0.5,200,0.01,0.7,Normal,Linear_combination_crossover
130,1000000,0.5,200,0.25,0.5,Normal,Linear_combination_crossover
131,1000000,0.5,200,0.25,0.6,Normal,Linear_combination_crossover
132,1000000,0.5,200,0.25,0.7,Normal,Linear_combination_crossover
133,1000000,0.5,200,0.55,0.5,Normal,Linear_combination_crossover
134,1000000,0.5,200,0.55,0.6,Normal,Linear_combination_crossover
135,1000000,0.5,200,0.55,0.7,Normal,Linear_combination_crossover
136,1000000,0.5,200,0.9,0.5,Normal,Linear_combination_crossover
137,1000000,0.5,200,0.9,0.6,Normal,Linear_combination_crossover
138,1000000,0.5,200,0.9,0.7,Normal,Linear_combination_crossover
139,1000000,0.5,200,2.0,0.5,Normal,Linear_combination_crossover
140,1000000,0.5,200,2.0,0.6,Normal,Linear_combination_crossover
141,1000000,0.5,200,2.0,0.7,Normal,Linear_combination_crossover
142,1000000,0.5,200,5.0,0.5,Normal,Linear_combination_crossover
143,1000000,0.5,200,5.0,0.6,Normal,Linear_combination_crossover
144,1000000,0.5,200,5.0,0.7,Normal,Linear_combination_crossover
145,1000000,1.0,100,0.01,0.5,Normal,Linear_combination_crossover
146,1000000,1.0,100,0.01,0.6,Normal,Linear_combination_crossover
147,1000000,1.0,100,0.01,0.7,Normal,Linear_combination_crossover
148,1000000,1.0,100,0.25,0.5,Normal,Linear_combination_crossover
149,1000000,1.0,100,0.25,0.6,Normal,Linear_combination_crossover
150,1000000,1.0,100,0.25,0.7,Normal,Linear_combination_crossover
151,1000000,1.0,100,0.55,0.5,Normal,Linear_combination_crossover
152,1000000,1.0,100,0.55,0.6,Normal,Linear_combination_crossover
153,1000000,1.0,100,0.55,0.7,Normal,Linear_combination_crossover
154,1000000,1.0,100,0.9,0.5,Normal,Linear_combination_crossover
155,1000000,1.0,100,0.9,0.6,Normal,Linear_combination_crossover
156,1000000,1.0,100,0.9,0.7,Normal,Linear_combination_crossover
157,1000000,1.0,100,2.0,0.5,Normal,Linear_combination_crossover
158,1000000,1.0,100,2.0,0.6,Normal,Linear_combination_crossover
159,1000000,1.0,100,2.0,0.7,Normal,Linear_combination_crossover
160,1000000,1.0,100,5.0,0.5,Normal,Linear_combination_crossover
161,1000000,1.0,100,5.0,0.6,Normal,Linear_combination_crossover
162,1000000,1.0,100,5.0,0.7,Normal,Linear_combination_crossover
163,1000000,1.0,200,0.01,0.5,Normal,Linear_combination_crossover
164,1000000,1.0,200,0.01,0.6,Normal,Linear_combination_crossover
165,1000000,1.0,200,0.01,0.7,Normal,Linear_combination_crossover
166,1000000,1.0,200,0.25,0.5,Normal,Linear_combination_crossover
167,1000000,1.0,200,0.25,0.6,Normal,Linear_combination_crossover
168,1000000,1.0,200,0.25,0.7,Normal,Linear_combination_crossover
169,1000000,1.0,200,0.55,0.5,Normal,Linear_combination_crossover
170,1000000,1.0,200,0.55,0.6,Normal,Linear_combination_crossover
171,1000000,1.0,200,0.55,0.7,Normal,Linear_combination_crossover
172,1000000,1.0,200,0.9,0.5,Normal,Linear_combination_crossover
173,1000000,1.0,200,0.9,0.6,Normal,Linear_combination_crossover
174,1000000,1.0,200,0.9,0.7,Normal,Linear_combination_crossover
