iterations,mutation_rate,num_individuals,range_mutation,crossover_probability
5000,1.0,100.0,0.25,0.7
5000,1.0,200.0,0.01,0.5
5000,1.0,200.0,0.01,0.6
5000,1.0,200.0,0.01,0.7
5000,1.0,200.0,0.25,0.5
5000,1.0,200.0,0.25,0.6
5000,1.0,200.0,0.25,0.7
5000,2.0,100.0,0.01,0.5
5000,2.0,100.0,0.01,0.6
5000,2.0,100.0,0.01,0.7
5000,2.0,100.0,0.25,0.5
5000,2.0,100.0,0.25,0.6
5000,2.0,100.0,0.25,0.7
5000,2.0,200.0,0.01,0.5
5000,2.0,200.0,0.01,0.6
5000,2.0,200.0,0.01,0.7
5000,2.0,200.0,0.25,0.5
5000,2.0,200.0,0.25,0.6
5000,2.0,200.0,0.25,0.7
