Function,Times,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F2,Times1,82.29194188628091,104.9694988959745,101.1203345146655,0.004820289830855744,0.005214967812477007,0.003224946816329212,0.001569601895115528,6.853566732135398,11.57782386585262,223.1344126732483,24.44004784364123,18.2944562159382,153.9805226715078,205.2945066756497,204.4594171718376,0.003572778037516538,0.001703390910506494,0.003976966479460177,70.4571739837078,176.2863041291445
F2,Times2,69.684321760264,65.8014605542858,61.82095246127716,0.003146022947356719,0.003296071493872195,0.001735827811389861,0.001910739368556858,3.336885458473922,186.5347505174013,226.5540446007152,73.76799437082568,232.1441552021626,211.8837267969721,228.6292884183704,37.27928402476385,0.001391607887034169,0.003205930343694986,0.005893750175810173,33.11823507254757,81.50581319579793
F2,Times3,158.7830761688476,56.48435775969273,166.6373335543647,0.00399445030394167,0.004667063843010558,0.003757928585336691,0.00233993006677049,38.86084689138517,57.67153331171954,145.1270303407765,83.45365956572161,59.01410450847563,129.7571185853542,127.7793988243148,124.3625816087284,0.003551842962604498,0.002838288555702419,0.003133040684263139,59.17913106249576,59.37695385904739
F2,Times4,59.19147656944999,107.4311280631892,245.9110292316712,0.002898308303895284,0.004603511025906793,0.001150569971357717,0.002728768231616317,40.79509798448269,49.73795163741845,192.1321614826276,46.62125756344845,51.49599742024125,48.87198404754703,80.90576755048511,82.20032354876383,0.004473527417892369,0.0009388522590283398,0.00837637620450647,32.03393525889062,72.99731108156394
F2,Times5,118.0065563176858,100.8256330903071,132.5270836318375,0.003956441232388344,0.00588765301730733,0.002221061672677227,0.002349718843054616,18.53654465529706,65.08107823043082,56.3734479616294,57.09529850080499,7.844501250580017,107.906819211061,171.3493277389251,131.8912391301369,0.003411846756400589,0.001122038059258604,0.003310836323071209,34.05480953398273,18.51925242317945
F2,Times6,248.5664031859502,101.7070839532628,130.5908302666649,0.002642162388567587,0.002265411123154336,0.003525441849357925,0.001964437259454579,80.92643690212323,115.8138429579724,146.1542734273177,72.7272301814134,144.4814265303773,158.2685104288329,181.5179671640203,107.4432802036315,0.002185703034673732,0.003005238399911009,0.006617852907603675,46.47748091747352,30.36508417396173
F2,Times7,55.75368278134648,122.1862158905287,183.0165138206078,0.003251242716143137,0.004847682447124199,0.001304037811154116,0.002451751802001149,70.95486275576957,59.34197306599296,222.1735160290152,125.354016785176,8.24610766589751,88.78483574909033,199.020365720951,104.3402125270819,0.001938303051674412,0.002783265050416638,0.005293074368897846,73.1173704824494,107.2378167255819
F2,Times8,134.6360194782104,80.10686395987754,200.6372865305877,0.005179363838005735,0.002850154442109658,0.001077329306585306,0.0009589313747266982,0.006799158108501182,268.7408431786737,215.0544094349965,90.77160015942667,46.69731703781622,101.4745254806809,127.4258669538991,52.40205146793706,0.003964318583466186,0.001634137961447673,0.006952619302355189,72.18250340871708,12.08028438460075
F2,Times9,61.69628290450536,85.61898878941889,144.3661707596436,0.004936293244670295,0.004452172623039274,0.003168283462803048,0.003386100394342899,20.83038168257889,24.05224345391766,252.286945894414,21.78470224415982,109.0404345526476,151.9681462384586,211.9072210680817,100.882178545078,0.002246500255431402,0.001470025473269739,0.006226964711063138,22.71161135651335,60.02338408331943
F2,Times10,256.9753250480866,159.6784322925984,178.6459235707017,0.002801185303539188,0.003310601733347261,0.002939248103601542,0.002916116705719834,52.85744328326481,85.16965106298981,150.877182060321,196.3804105669867,17.84109590116025,96.27828888443455,134.7999371660069,117.6902961003513,0.002416541657542547,0.002475392760166267,0.004582348797758927,62.48634194853221,113.1673003031815
F4,Times1,15.77120855549177,14.2630853762564,22.59899801191813,2.823141424289488,6.448842770047609,4.341760162052475,2.601979959812647,14.07686046876567,17.9855016720608,15.12725320759037,22.25512447484836,20.48568370239663,15.88007279327478,13.67813113656733,21.6563732721018,7.72048774476337,3.441176074334751,9.958431748144594,18.43895545641553,16.38699215534293
F4,Times2,20.33273605650749,14.10881382942402,13.38250531230478,9.454966652148915,7.80221873546586,6.761285290721617,9.086013302962005,19.82057567069891,16.21344528771335,14.60619935614361,19.1842792913715,15.55607778232542,19.6174705282693,16.1268625275921,17.12406491362328,5.610262193878064,1.860017394612967,8.89115808936277,19.27487989590031,12.57568892473353
F4,Times3,17.57632710569376,14.69408108932379,21.42653580181325,10.89292162534902,8.700484174180811,5.02230097041793,0.9393092682202389,16.1941312414308,17.75879158476183,17.50296819670574,22.34508965591493,18.73372212090166,17.35694330188527,24.46177979162764,17.00868085576658,7.456653514847578,0.7678747020292869,12.6934091651779,29.13302638409437,16.95820861810286
F4,Times4,16.32614338022013,17.52212716524177,22.11245423511137,6.38113455071894,9.051795771070138,0.3292532247817815,4.746149183457377,22.79743264024554,20.14803879611981,22.00650898295634,26.48377252420438,14.67966648763856,23.48519351741187,13.07471853469524,17.03247859236192,5.297275175418933,0.01996736608748421,12.12892712680178,18.26354054730497,19.11383736464329
F4,Times5,16.94937640618574,11.80112609968061,18.26809509342814,25.07348713124334,10.85444632039521,6.863383784536856,4.150191648560483,20.95754097212822,18.18823984854563,16.75789694015807,12.89211924292372,18.23568013525943,18.08709714641303,20.25443223420586,17.88535275521651,3.932149651682802,1.285596588058545,8.068251506682447,18.4275874785179,14.04332825130536
