,,590,593,579,588,589
F17,Times5,1,1,1,1,1
F17,Times6,1,1,1,1,1
F17,Times7,1,1,1,1,1
F17,Times8,1,1,1,1,1
F17,Times9,1,1,1,1,1
F17,Times10,1,1,1,1,1
F18,Times1,1,1,1,1,1
F18,Times2,1,1,1,1,1
F18,Times3,1,1,1,1,1
F18,Times4,1,0,1,1,0
F18,Times5,1,0,1,1,1
F18,Times6,1,0,1,1,1
F18,Times7,1,1,1,1,1
F18,Times8,1,1,1,0,1
F18,Times9,1,1,1,1,1
F18,Times10,1,1,1,1,1
F19,Times1,0,0,0,0,0
F19,Times2,0,0,0,0,0
F19,Times3,0,0,0,0,0
F19,Times4,0,0,0,0,0
F19,Times5,0,0,0,0,0
F19,Times6,0,0,0,0,0
F19,Times7,0,0,0,0,0
F19,Times8,0,0,0,0,0
F19,Times9,0,0,0,0,0
F19,Times10,0,0,0,0,0
F20,Times1,1,0,0,1,0
F20,Times2,1,0,0,1,0
F20,Times3,1,1,0,1,1
F20,Times4,0,1,1,1,0
F20,Times5,0,0,0,1,0
F20,Times6,0,1,1,1,0
F20,Times7,1,1,0,0,0
F20,Times8,1,0,0,1,0
F20,Times9,1,0,0,0,1
F20,Times10,1,1,0,1,0
F21,Times1,0,0,0,1,0
F21,Times2,0,1,0,0,0
F21,Times3,1,0,1,0,1
F21,Times4,0,0,1,0,0
F21,Times5,0,0,0,0,1
F21,Times6,1,0,1,0,0
F21,Times7,1,1,1,0,0
F21,Times8,0,0,1,0,0
F21,Times9,0,0,0,0,1
F21,Times10,0,1,0,0,1
F22,Times1,0,0,1,0,1
F22,Times2,1,0,0,0,0
F22,Times3,0,1,0,0,0
F22,Times4,0,1,1,0,0
F22,Times5,0,0,0,1,0
F22,Times6,0,0,0,0,0
F22,Times7,0,1,0,0,1
F22,Times8,0,0,0,1,1
F22,Times9,1,0,1,1,0
F22,Times10,0,0,0,1,0
F23,Times1,0,0,0,1,0
F23,Times2,0,0,0,1,1
F23,Times3,1,0,1,0,1
F23,Times4,1,1,0,0,1
F23,Times5,0,0,0,0,0
F23,Times6,1,0,0,1,0
F23,Times7,0,0,0,1,0
F23,Times8,0,1,0,0,0
F23,Times9,0,0,0,0,0
F23,Times10,0,1,0,1,0
