,,590,593,579,588,589
F14,Times6,145,1000099,396,1000099,1000099
F14,Times7,1000099,1000099,204,1000099,183
F14,Times8,1000099,1000099,1000199,1000099,1000099
F14,Times9,1000099,183,242,1000099,1000099
F14,Times10,169,172,1000199,1000099,1000099
F15,Times1,1000099,54599,1000199,77509,17881
F15,Times2,61522,62360,120709,1000099,1000099
F15,Times3,47698,1000099,1000199,71789,20598
F15,Times4,1000099,46070,156237,46322,42899
F15,Times5,68388,82735,133369,50019,1000099
F15,Times6,1000099,74428,38971,64200,1000099
F15,Times7,51972,16172,119280,1000099,1000099
F15,Times8,1000099,24598,133267,60014,15544
F15,Times9,66616,31442,192547,65300,1000099
F15,Times10,49207,76826,1000199,12980,1000099
F16,Times1,513,999,602,1963,455
F16,Times2,442,1400,322,398,2796
F16,Times3,2847,727,499,403,1759
F16,Times4,1692,2062,722,1000099,3773
F16,Times5,3975,1202,228,998,2015
F16,Times6,5116,223,418,494,646
F16,Times7,1000099,1978,298,1314,4042
F16,Times8,1304,1396,369,1887,8624
F16,Times9,1493,610,456,655,1414
F16,Times10,973,863,552,1283,1955
F17,Times1,305,170,356,395,202
F17,Times2,287,274,275,312,185
F17,Times3,283,314,370,422,491
F17,Times4,305,385,239,258,316
F17,Times5,198,161,303,554,448
F17,Times6,354,381,336,278,193
F17,Times7,446,414,257,208,232
F17,Times8,387,237,364,434,387
F17,Times9,204,166,485,552,199
F17,Times10,216,229,513,140,324
F18,Times1,146,210,224,102,123
F18,Times2,160,128,211,101,119
F18,Times3,133,287,230,126,116
F18,Times4,109,1000099,251,182,1000099
F18,Times5,210,1000099,203,114,117
F18,Times6,179,1000099,227,152,142
F18,Times7,217,196,232,229,122
F18,Times8,144,101,250,1000099,174
F18,Times9,137,142,282,123,105
F18,Times10,141,171,231,108,111
F19,Times1,1000099,1000099,1000199,1000099,1000099
F19,Times2,1000099,1000099,1000199,1000099,1000099
F19,Times3,1000099,1000099,1000199,1000099,1000099
F19,Times4,1000099,1000099,1000199,1000099,1000099
F19,Times5,1000099,1000099,1000199,1000099,1000099
F19,Times6,1000099,1000099,1000199,1000099,1000099
F19,Times7,1000099,1000099,1000199,1000099,1000099
F19,Times8,1000099,1000099,1000199,1000099,1000099
F19,Times9,1000099,1000099,1000199,1000099,1000099
F19,Times10,1000099,1000099,1000199,1000099,1000099
F20,Times1,498,1000099,1000199,471,1000099
F20,Times2,542,1000099,1000199,470,1000099
F20,Times3,693,431,1000199,476,360
F20,Times4,1000099,486,765,318,1000099
F20,Times5,1000099,1000099,1000199,346,1000099
F20,Times6,1000099,366,485,415,1000099
F20,Times7,577,505,1000199,1000099,1000099
F20,Times8,591,1000099,1000199,785,1000099
F20,Times9,497,1000099,1000199,1000099,341
F20,Times10,625,410,1000199,438,1000099
F21,Times1,1000099,1000099,1000199,5661,1000099
F21,Times2,1000099,5167,1000199,1000099,1000099
F21,Times3,6710,1000099,6540,1000099,4994
F21,Times4,1000099,1000099,7946,1000099,1000099
F21,Times5,1000099,1000099,1000199,1000099,11532
F21,Times6,7167,1000099,6083,1000099,1000099
F21,Times7,11541,19280,1721,1000099,1000099
