,num_generations,mutation_rate,num_individuals,crossover_rate,mutation_type,crossover_type,local_search_rate,local_search_type,search_radius,threshold,dimensions,gg,selection_method,fitness_function,algorithm
153,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,8,Baseline
154,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,8,Lamarck
155,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,8,Baldwin
156,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,10,Baseline
157,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,10,Lamarck
158,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,10,Baldwin
159,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,13,Baseline
160,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,13,Lamarck
161,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,SSGA,13,Baldwin
162,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,1,Baseline
163,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,1,Lamarck
164,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,1,Baldwin
165,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,5,Baseline
166,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,5,Lamarck
167,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,5,Baldwin
168,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,7,Baseline
169,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,7,Lamarck
170,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,7,Baldwin
171,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,8,Baseline
172,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,8,Lamarck
173,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,8,Baldwin
174,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,10,Baseline
175,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,10,Lamarck
176,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,10,Baldwin
177,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,13,Baseline
178,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,13,Lamarck
179,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_part,13,Baldwin
180,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_all,1,Baseline
181,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_all,1,Lamarck
182,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_all,1,Baldwin
183,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_all,5,Baseline
184,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_all,5,Lamarck
185,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_all,5,Baldwin
186,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_all,7,Baseline
187,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_all,7,Lamarck
188,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_all,7,Baldwin
189,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_all,8,Baseline
190,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_all,8,Lamarck
191,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_all,8,Baldwin
192,1000000,0.04,100,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.5,sorted_selection_all,10,Baseline
