Function,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F2,0%,0%,0%,100%,100%,100%,100%,20%,10%,0%,10%,0%,0%,0%,0%,100%,100%,100%,10%,0%
F4,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F10,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F11,0%,0%,0%,0%,10%,10%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F13,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F14,10%,10%,10%,0%,10%,0%,10%,0%,0%,20%,0%,10%,0%,0%,0%,0%,0%,10%,10%,30%
F15,70%,70%,100%,0%,0%,10%,10%,50%,70%,80%,70%,50%,40%,70%,90%,0%,10%,0%,70%,60%
F21,40%,70%,30%,30%,50%,30%,50%,20%,50%,50%,20%,20%,50%,60%,20%,20%,30%,70%,40%,20%
F22,20%,40%,60%,10%,40%,60%,10%,60%,30%,50%,20%,20%,40%,20%,10%,20%,20%,50%,30%,20%
