Function,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,100%,100%,100%,100%,100%,100%,100%,100%,100%,60%,100%,100%,90%,100%,100%,100%,100%,100%,10%,30%
F2,0%,10%,0%,100%,100%,100%,100%,10%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,10%,0%
F3,100%,100%,100%,100%,100%,100%,100%,100%,100%,60%,100%,100%,100%,100%,100%,100%,100%,100%,30%,30%
F4,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,90%,100%,100%,100%,100%,100%,100%,100%,100%,60%,100%,100%,100%,100%,100%,100%,100%,100%,30%,30%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F10,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F11,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F12,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F13,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F14,30%,30%,60%,60%,70%,40%,30%,20%,20%,70%,10%,20%,30%,30%,30%,10%,20%,20%,20%,0%
F15,50%,70%,70%,0%,0%,0%,10%,60%,40%,70%,40%,60%,70%,60%,40%,0%,10%,0%,50%,50%
F16,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,100%,90%,100%,100%,100%,100%,100%,90%,100%,100%,80%,100%,90%,100%,90%,100%,100%,100%,80%,100%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,40%,50%,30%,30%,40%,60%,40%,50%,40%,50%,50%,40%,30%,30%,30%,60%,60%,40%,60%,60%
F21,50%,40%,20%,30%,30%,20%,20%,20%,30%,10%,20%,30%,20%,40%,10%,10%,30%,40%,30%,30%
F22,30%,40%,20%,30%,20%,30%,20%,30%,30%,30%,40%,40%,30%,0%,10%,10%,10%,0%,20%,0%
F23,30%,30%,10%,40%,40%,20%,10%,20%,10%,40%,30%,30%,0%,30%,0%,40%,40%,20%,10%,20%
