Function,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F2,30%,20%,10%,100%,100%,100%,100%,100%,100%,0%,70%,90%,30%,20%,80%,100%,100%,100%,70%,40%
F3,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F4,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,30%,100%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F10,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F11,0%,0%,0%,10%,20%,20%,40%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,80%,0%,0%
F12,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F13,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F14,20%,10%,10%,0%,30%,10%,0%,10%,0%,10%,0%,0%,0%,10%,10%,10%,0%,20%,0%,10%
F15,50%,70%,70%,10%,0%,20%,10%,50%,70%,80%,60%,70%,70%,50%,80%,0%,10%,10%,60%,60%
F16,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,60%,40%,50%,60%,20%,20%,30%,40%,50%,40%,30%,50%,60%,0%,50%,40%,30%,60%,80%,40%
F21,80%,60%,30%,40%,40%,60%,20%,10%,40%,70%,50%,30%,90%,80%,50%,50%,20%,50%,10%,40%
F22,30%,50%,50%,20%,30%,20%,40%,40%,40%,30%,60%,10%,40%,40%,0%,0%,30%,30%,60%,50%
F23,40%,50%,70%,20%,30%,60%,40%,20%,30%,80%,20%,40%,50%,40%,40%,20%,50%,60%,20%,40%
