,num_generations,mutation_rate,num_individuals,crossover_rate,mutation_type,crossover_type,local_search_rate,local_search_type,search_radius,threshold,dimensions,gg,selection_method,length_of_local_search,fitness_function,algorithm
19,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,1,Lamarck
20,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,1,Baldwin
21,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,5,Baseline
22,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,5,Lamarck
23,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,5,Baldwin
24,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,7,Baseline
25,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,7,Lamarck
26,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,7,Baldwin
27,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,8,Baseline
28,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,8,Lamarck
29,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,8,Baldwin
30,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,10,Baseline
31,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,10,Lamarck
32,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,10,Baldwin
33,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,13,Baseline
34,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,13,Lamarck
35,1000000,0.01,200,0.5,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,13,Baldwin
36,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,1,Baseline
37,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,1,Lamarck
38,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,1,Baldwin
39,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,5,Baseline
40,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,5,Lamarck
41,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,5,Baldwin
42,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,7,Baseline
43,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,7,Lamarck
44,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,7,Baldwin
45,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,8,Baseline
46,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,8,Lamarck
47,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,8,Baldwin
48,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,10,Baseline
49,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,10,Lamarck
50,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,10,Baldwin
51,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,13,Baseline
52,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,13,Lamarck
53,1000000,0.02,100,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,13,Baldwin
54,1000000,0.02,200,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,1,Baseline
55,1000000,0.02,200,0.6,Normal,Probabilistic_crossover,0.5,Uniform,0.1,0.0001,100,0.99,sorted_selection_part,3,1,Lamarck
