Function,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F2,10%,20%,10%,100%,100%,100%,100%,70%,40%,0%,40%,40%,0%,0%,40%,100%,100%,100%,30%,20%
F3,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F4,0%,0%,0%,0%,0%,20%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F10,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F11,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F12,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F13,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F14,80%,30%,30%,20%,40%,60%,60%,20%,40%,60%,0%,20%,30%,30%,0%,0%,40%,60%,10%,30%
F15,50%,60%,90%,0%,0%,0%,10%,60%,60%,70%,60%,60%,70%,50%,70%,0%,10%,0%,70%,70%
F16,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,90%,100%,100%,100%,100%,100%,100%,80%,100%,100%,80%,100%,100%,100%,90%,100%,100%,100%,90%,100%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,10%,60%,0%,50%,50%,60%,40%,70%,40%,80%,60%,70%,40%,30%,30%,50%,50%,50%,80%,40%
F21,10%,30%,0%,40%,40%,30%,40%,40%,30%,30%,10%,20%,30%,0%,20%,40%,10%,30%,20%,30%
F22,40%,30%,30%,30%,40%,10%,20%,10%,40%,20%,30%,30%,40%,30%,20%,30%,10%,30%,30%,20%
F23,20%,30%,20%,30%,20%,20%,30%,20%,20%,20%,30%,50%,40%,30%,10%,40%,10%,10%,20%,10%
