Function,Times,combination570,combination562
F8,Times9,-16645.68935704613,-15202.9808732911
F8,Times10,-15989.29923658338,-14849.28973985301
F9,Times1,0.0005951600619411579,0.1011200664926619
F9,Times2,0.0008577969367387084,0.04023684306955388
F9,Times3,0.001395340013752744,0.0716405145258392
F9,Times4,0.001400776893856204,0.06902007227435014
F9,Times5,0.000672237694253397,0.05173564315509971
F9,Times6,0.0005278970993600751,0.06797356948023214
F9,Times7,0.001157644072428354,0.1016976970543535
F9,Times8,0.001674449381347642,0.08011393720386728
F9,Times9,0.000924407991252707,0.06387775314036226
F9,Times10,0.0007935729164429972,0.02771215485385881
F10,Times1,0.001374596713045406,0.009628601876695342
F10,Times2,0.001459763317491536,0.01021686573098535
F10,Times3,0.0009537255517706456,0.01076937595371064
F10,Times4,0.001257860070342787,0.01262035998212596
F10,Times5,0.001204733643685785,0.01125309245705708
F10,Times6,0.001132716527642685,0.0135633407219018
F10,Times7,0.001308349918595297,0.009444243138730712
F10,Times8,0.001191793176658962,0.01452191173548201
F10,Times9,0.0009230104561019914,0.007045400429124271
F10,Times10,0.001278788020506738,0.01189297073577933
F11,Times1,1.884284031647132,0.02216011827633957
F11,Times2,2.28811727901525,0.04662018047779193
F11,Times3,0.8842214597195367,0.02708129346998545
F11,Times4,0.3533423628843841,0.03434241237547397
F11,Times5,0.9225578744873503,0.01233235938456956
F11,Times6,0.0614311029456247,0.04427347104632207
F11,Times7,2.427131782858251,0.03448013203119127
F11,Times8,1.464467164923831,0.1357758797463445
F11,Times9,6.00661632723437,0.009867283881579203
F11,Times10,0.4985073032629697,0.03196715252537341
F12,Times1,4.868308536812471e-05,6.062267867643896e-05
F12,Times2,4.749735963379794e-05,0.0001870848916980086
F12,Times3,4.683749790871048e-05,0.000112020857790594
F12,Times4,4.940161400918603e-05,0.0001036392443062114
F12,Times5,4.48304452372093e-05,6.214425453087167e-05
F12,Times6,4.244292541070251e-05,6.961796251681391e-05
F12,Times7,4.205244618544385e-05,5.444021354484146e-05
F12,Times8,4.914665082050389e-05,0.0001859750689967048
F12,Times9,4.580283622932283e-05,0.0004581241984268536
F12,Times10,4.774705948095389e-05,0.0005174778515274271
F13,Times1,4.999661540488396e-05,0.0001207831906597725
F13,Times2,4.773259887191976e-05,0.0003827500228137389
F13,Times3,2.578951488256546e-05,0.0001227877938009
F13,Times4,4.528939878308668e-05,6.941799537332255e-05
F13,Times5,2.927585289451804e-05,4.6321777664773e-05
F13,Times6,4.897655710940411e-05,7.290427726699618e-05
F13,Times7,4.743152739174432e-05,6.903577233809874e-05
F13,Times8,4.994916897591597e-05,7.783097176836199e-05
F13,Times9,4.94292190558852e-05,0.0001028194482038497
F13,Times10,4.908472360975819e-05,0.0001644642351833621
F14,Times1,15.50381680261236,0.999345608145416
F14,Times2,6.903335694220138,0.9980417307507553
F14,Times3,10.76318066677916,0.9980939647705682
F14,Times4,11.71869956206306,0.999971040494449
F14,Times5,5.92884512540015,0.9981039915223529
F14,Times6,0.9980360699682757,0.9988162514307883
F14,Times7,0.9987110281871233,0.9980442748993351
F14,Times8,7.873992977132183,0.9996909991408633
F14,Times9,6.903335694220144,0.9981054593240424
F14,Times10,1.992030900220718,0.9981634874992478
F15,Times1,0.0003819386311548127,0.001230577941698851
F15,Times2,0.02036336190610605,0.0008492850155822945
F15,Times3,0.0007125493059612246,0.001232894101573115
F15,Times4,0.0006501116116772869,0.001233416839235516
F15,Times5,0.001409626651691917,0.001233183424281448
F15,Times6,0.001223176202311768,0.001269092365274082
F15,Times7,0.0004240403377273022,0.001346713983224169
F15,Times8,0.0005305123622039721,0.001237527306614897
F15,Times9,0.0006519090347079255,0.001271126540172296
F15,Times10,0.0004159035174833026,0.0008042157226568962
F16,Times1,-1.031590386163245,-1.031603928817121
F16,Times2,-1.031623117402005,-1.031588288602034
F16,Times3,-1.031576317409843,-1.031628195453886
F16,Times4,-1.031561649826686,-1.031551867243298
F16,Times5,-1.03156511100414,-1.031616108900588
F16,Times6,-1.031571999205992,-1.031558957344612
F16,Times7,-1.031562026676804,-1.031588752354171
F16,Times8,-1.03160264526381,-1.031588084785774
F16,Times9,-1.031560257546678,-1.031625748713306
F16,Times10,-1.031567828905373,-1.031615502165761
F17,Times1,0.3979084622378295,0.3979682339113921
F17,Times2,0.3978873790221069,0.397918729774311
F17,Times3,0.3980177586198117,0.3979110832768971
F17,Times4,0.3979747778830287,0.3980007844337692
F17,Times5,0.3979218023243511,0.3979146807497038
F17,Times6,0.397903060030977,0.3980454379849192
F17,Times7,0.3978939954695058,0.3979681097646193
F17,Times8,0.397945782841715,0.3980424601493411
F17,Times9,0.3980349342973248,0.3979738092024192
F17,Times10,0.3979055175767794,0.3980140822773492
F18,Times1,3.000024772990917,3.000047009808545
F18,Times2,3.000005125060251,3.000053879421907
F18,Times3,3.000031045191075,3.000017056352527
F18,Times4,3.000045882081172,3.000000830132568
F18,Times5,3.000017146252787,3.000031498108624
F18,Times6,3.000022574140356,3.000037938627331
F18,Times7,3.000047160058897,3.000046308905035
F18,Times8,3.00002792786903,3.000030233237267
F18,Times9,3.000037796873793,3.000048254839025
F18,Times10,3.000026614922395,3.000049866155816
F19,Times1,-0.3004789071949462,-0.3004789071949462
F19,Times2,-0.3004789071949462,-0.3004789071949462
F19,Times3,-0.3004789071949462,-0.3004789071949462
F19,Times4,-0.3004789071949462,-0.3004789071949462
F19,Times5,-0.3004789071949462,-0.3004789071949462
F19,Times6,-0.3004789071949462,-0.3004789071949462
F19,Times7,-0.3004789071949462,-0.3004789071949462
F19,Times8,-0.3004789071949462,-0.3004789071949462
F19,Times9,-0.3004789071949462,-0.3004789071949462
F19,Times10,-0.3004789071949462,-0.3004789071949462
F20,Times1,-3.320073989268803,-3.20301747806222
F20,Times2,-3.320530349589627,-3.203089901403679
F20,Times3,-3.203102002715735,-3.320865726747631
F20,Times4,-3.203101981150427,-3.203097405658911
F20,Times5,-3.203101902185249,-3.203094113623686
F20,Times6,-3.320053239960663,-3.320424577998923
F20,Times7,-3.320135506561675,-3.203099405617116
F20,Times8,-3.320058792438844,-3.203093058903948
F20,Times9,-3.320697607019651,-3.203085825956745
F20,Times10,-3.321202116671726,-3.320259554119211
F21,Times1,-10.1531519463361,-10.15294181541774
F21,Times2,-2.630471654924185,-5.100771481937872
F21,Times3,-5.100772077473904,-2.682858734804481
F21,Times4,-10.15318955093284,-10.15317008355006
F21,Times5,-2.630471661851469,-10.15308487860508
F21,Times6,-5.100772088071039,-2.630470497696805
F21,Times7,-10.15315065189303,-2.682859232881602
F21,Times8,-5.100772100874892,-2.682859476764287
F21,Times9,-5.055197679223981,-2.630470808084844
F21,Times10,-5.055197706546193,-2.682859788503451
F22,Times1,-10.40279748828882,-10.40286173323614
F22,Times2,-10.40276646024911,-5.128821689383186
F22,Times3,-2.765897319514897,-3.724298617409345
F22,Times4,-3.724300336560485,-10.40290108785157
F22,Times5,-2.765897307111683,-10.40275707369202
F22,Times6,-2.765897326808911,-3.724298322240367
F22,Times7,-2.765897301388896,-5.128810114881473
F22,Times8,-5.087671765079117,-10.40279975499779
F22,Times9,-10.4028904984193,-5.128821544870107
F22,Times10,-10.40275501526598,-5.087666192046927
F23,Times1,-5.17564671282592,-3.835426467165447
F23,Times2,-5.175646702126812,-10.53626289969459
F23,Times3,-10.53627853607034,-5.128480067072783
F23,Times4,-10.5362899039672,-10.53627244549414
F23,Times5,-2.421734020706657,-2.806630539994438
F23,Times6,-2.806630706081318,-3.835426655090781
F23,Times7,-5.128480665550625,-10.53628806718891
F23,Times8,-10.53633147773047,-10.53636695070681
F23,Times9,-10.53632375230718,-5.128475801696411
F23,Times10,-2.421734021985658,-10.53634045457911
