,ranking
218,520.0
219,521.0
220,522.0
221,523.0
222,524.0
223,525.0
224,526.0
225,527.0
226,528.0
227,529.0
216,530.0
202,531.0
200,532.0
199,533.0
174,534.0
175,535.0
176,536.0
177,537.0
178,538.0
179,539.0
180,540.0
181,541.0
182,542.0
183,543.0
184,544.0
185,545.0
186,546.0
187,547.0
188,548.0
189,549.0
190,550.0
191,551.0
192,552.0
193,553.0
194,554.0
195,555.0
196,556.0
197,557.0
198,558.0
172,559.0
115,560.0
114,561.0
113,562.0
31,563.0
32,564.0
33,565.0
34,566.0
35,567.0
36,568.0
37,569.0
38,570.0
39,571.0
40,572.0
41,573.0
30,574.0
42,575.0
44,576.0
45,577.0
46,578.0
47,579.0
48,580.0
49,581.0
50,582.0
51,583.0
52,584.0
53,585.0
54,586.0
43,587.0
29,588.0
28,589.0
27,590.0
2,591.0
3,592.0
4,593.0
5,594.0
6,595.0
7,596.0
8,597.0
9,598.0
10,599.0
11,600.0
12,601.0
13,602.0
14,603.0
15,604.0
16,605.0
17,606.0
18,607.0
19,608.0
20,609.0
21,610.0
22,611.0
23,612.0
24,613.0
25,614.0
26,615.0
55,616.0
56,617.0
57,618.0
58,619.0
88,620.0
89,621.0
90,622.0
91,623.0
92,624.0
93,625.0
94,626.0
95,627.0
96,628.0
97,629.0
98,630.0
99,631.0
100,632.0
446,633.0
102,634.0
103,635.0
104,636.0
105,637.0
106,638.0
107,639.0
108,640.0
109,641.0
110,642.0
111,643.0
112,644.0
87,645.0
228,646.0
86,647.0
84,648.0
59,649.0
60,650.0
61,651.0
62,652.0
63,653.0
64,654.0
65,655.0
66,656.0
67,657.0
68,658.0
69,659.0
70,660.0
71,661.0
72,662.0
73,663.0
74,664.0
75,665.0
76,666.0
77,667.0
78,668.0
79,669.0
80,670.0
81,671.0
82,672.0
83,673.0
85,674.0
229,675.0
101,676.0
1200,677.0
428,678.0
427,679.0
426,680.0
425,681.0
424,682.0
348,683.0
423,684.0
422,685.0
421,686.0
420,687.0
419,688.0
418,689.0
349,690.0
350,691.0
351,692.0
352,693.0
353,694.0
417,695.0
416,696.0
415,697.0
414,698.0
413,699.0
412,700.0
347,701.0
429,702.0
346,703.0
345,704.0
329,705.0
330,706.0
331,707.0
332,708.0
333,709.0
334,710.0
335,711.0
336,712.0
337,713.0
338,714.0
339,715.0
354,716.0
340,717.0
436,718.0
435,719.0
341,720.0
342,721.0
434,722.0
433,723.0
432,724.0
367,725.0
430,726.0
343,727.0
344,728.0
437,729.0
355,730.0
356,731.0
411,732.0
387,733.0
363,734.0
364,735.0
386,736.0
385,737.0
384,738.0
230,739.0
383,740.0
382,741.0
381,742.0
380,743.0
388,744.0
379,745.0
377,746.0
376,747.0
365,748.0
375,749.0
374,750.0
373,751.0
372,752.0
371,753.0
370,754.0
369,755.0
368,756.0
378,757.0
328,758.0
389,759.0
391,760.0
410,761.0
409,762.0
408,763.0
407,764.0
406,765.0
405,766.0
404,767.0
357,768.0
358,769.0
359,770.0
360,771.0
390,772.0
402,773.0
400,774.0
399,775.0
398,776.0
361,777.0
362,778.0
397,779.0
396,780.0
